ID,Smiles,Erythrocyte-3D7 (IC50 - uM),Erythrocyte-3D7 pIC50
MMV1964972,C1CNCCN1c(cc2Nc3c(cc(C(=O)Nc4cccc(F)c4)cn3)Cl)ncc2,0.351,6.454692884
MMV1902997,c1cc(ccn1)N2CCN(c3ncc(cc3F)C(Nc4cc(Cl)ccc4)=O)CC2,0.606,6.217527376
MMV1848692,C1CC1CNC(c2cnc(nc2)N3CCN(CC3)c4c(cccc4)C)=O,0.155,6.809668302
MMV1848764,C1CC1c(nc2c3cnc(c(c3)Cl)N4CCN(CC4)c5c(cccc5)C)no2,25,4.602059991
MMV1848766,C1CC1c(nc2c3cnc(c(c3)Cl)N4CCN(CC4)c5c(cccc5)C)on2,25,4.602059991
MMV1848885,Clc1cc(cnc1c2ccccc2)C(=O)Nc3cccc(c3)Cl,18.28,4.738023809
MMV1899525,Clc(cccc1CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O)c1,0.963,6.016373713
MMV1899526,C(c(cc1)cc(Cl)c1)CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,1.54,5.812479279
MMV1899527,C(c(cc1)c(Cl)cc1)CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,0.938,6.027797162
MMV1899528,C(O1)(CCC1)CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccncc4)=O,25,4.602059991
MMV1899529,c1cnccc1N(CCN2c(ncc3C(NC(C)(CO4)C4)=O)c(c3)Cl)CC2,25,4.602059991
MMV1899530,C1N(CC(CN2c(ncc3C(Nc4cccc(c4)Cl)=O)c(c3)Cl)C1C2)c5ccncc5,0.444,6.35261703
MMV1899593,C1C2CC(CC1C(NC(=O)c3cc(Cl)c(N4CCN(c5ccncc5)CC4)nc3)C6C2)C6,1.82,5.739928612
MMV1899594,c1cc([C@H](C)NC(=O)c2cc(Cl)c(N3CCN(c4ccncc4)CC3)nc2)ccc1,1.66,5.779891912
MMV1899619,C1CN(c2ncc(C(NCc3ccc(Cl)c(Cl)c3)=O)cc2Cl)CCN1c4ccncc4,0.504,6.297569464
MMV1848215,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)NCCN3CCCCC3,1.2,5.920818754
MMV1848216,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)NCCN3CCOCC3,3.52,5.453457337
MMV1848217,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)NCCN(CC)CC,2.78,5.555955204
MMV1848218,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)NCCN3CCCC3,2.36,5.627087997
MMV1848219,Clc1cc(cnc1N2CCN(CC2)c3ccncc3)NC(=O)c4cccc(c4)Cl,1.01,5.995678626
MMV1848301,Clc1cccc(c1)NC(c2cnc(c(c2)Cl)N3CCN(CC3)c4ccnc(C(F)(F)F)c4)=O,6,5.22184875
MMV1848302,COc(nccc1N(CCN2c(ncc3C(=O)Nc4cccc(c4)Cl)c(c3)Cl)CC2)c1,6.45,5.190440285
MMV1848377,Cc(cnc1N(CCN2c(ncc3C(=O)Nc4cccc(c4)Cl)c(c3)Cl)CC2)s1,7.8,5.107905397
MMV1848441,O=C(C=C1N(CCN2c(ncc3C(=O)Nc4cccc(c4)Cl)c(c3)Cl)CC2)N(C=C1)C,7.83,5.106238238
MMV1848591,C1OCC1CNC(c2cnc(c(c2)Cl)N3CCN(CC3)c4c(cccc4)C)=O,5.48,5.261219442
MMV1848691,O=S(c1cnc(cc1)N2CCN(CC2)c3c(cccc3)C)(NC4CC4)=O,25,4.602059991
MMV1899725,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)c3ccncc3,25,4.602059991
MMV1899726,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)c3cnccc3,25,4.602059991
MMV1899727,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)c3c(cccc3)C,7.63,5.117475462
MMV1899728,Clc1cccc(c1)NC(=O)c2cnc(c(c2)Cl)c3ccc(cc3)Cl,8.09,5.092051478
MMV1899748,O=C(c1cnc(c(c1)Cl)N2CCN(CC2)c3ccncc3)Nc4cccc(c4)N5CCOCC5,1.6,5.795880017
MMV1899749,O=C(c1cnc(c(c1)Cl)N2CCN(CC2)c3ccncc3)Nc4cccc(c4)OCCO,5.1,5.292429824
MMV1899750,c1nc(c(cc1C(=O)NCC(C)(C)C)Cl)N2CCN(c3ccncc3)CC2,6.94,5.15864053
MMV1899751,c1nc(c(cc1C(=O)Nc2cc(C(C)C)ccc2)Cl)N3CCN(c4ccncc4)CC3,0.698,6.156144577
MMV1899752,O=C(c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1)NC(C)(C)CC,9.38,5.027797162
MMV1899753,c1nc(c(cc1C(=O)NC2CCN(CC2)S(=O)(C)=O)Cl)N3CCN(c4ccncc4)CC3,25,4.602059991
MMV1899754,O=C(c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1)N[C@@H]4CCc(ccc(Br)c5)c45,0.499,6.301899454
