pIC50,Smiles
6.37675071,Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
5.326058001,Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1
4.48148606,Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4ccccc34)s2)n1
5.425968732,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1
5.838631998,Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
3.775466937,Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3)s2)n1
3.298604731,Cc1cc(C)nc(SCC(=O)Nc2nnc(C(F)(F)F)s2)n1
3.844663963,O=C(CSc1cccc(O)c1)Nc1ncc(Cc2cccc3ccccc23)s1
5.785156152,Cc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1
4.774690718,O=C(CSc1ncccn1)Nc1ncc(Cc2ccccc2)s1
5.425968732,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1
6.26760624,Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1
6.744727495,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1
6.508638306,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3c(C)ccc4ccccc34)s2)n1
5.876148359,CCOc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1
5.4710833,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
6.397940009,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc4ccccc4c3)s2)n1
5.716698771,CC(Sc1ncccn1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1
5.468521083,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Cl)cc3)s2)n1
5.723538196,Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3cccc4ccccc34)s2)n1
4.701146924,O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1nnc(Cc2ccccc2)s1
4.109020403,CCOc1ccc2nc(NC(=O)CSc3nc(C)cc(C)n3)sc2c1
6.494850022,CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1
6.318758763,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4cc(Cl)ccc34)s2)n1
3.783834098,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(-c4ccccc4)cc3)s2)n1
6.853871964,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
5,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
6.853871964,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
3.88941029,CC(C)(C)OC(=O)Nc1cccc(-c2noc(C(=O)NNC(=S)Nc3ccc(C(F)(F)F)cc3)n2)c1
6.795880017,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(OCc4cn(Cc5ccccc5)nn4)c3)s2)n1
3.22184875,CCOC(=O)c1cnc(NCc2ccccc2)nc1NCCCNC(=S)NCCC(=O)O
3.684029655,Cc1cc(C)cc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)c1
4.48148606,Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc(-c4ccccc4)cc3)s2)n1
6.26760624,CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1
6.397940009,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
5.619788758,C#CCOc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1
6.15490196,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
5.630784143,O=C(CSc1ncccn1)Nc1ncc(Cc2cccc3ccccc23)s1
4.823908741,Cc1nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)nc(C)c1C
4.835647144,COc1ccc(Cc2cnc(NC(=O)C(C)Sc3nc(C)cc(C)n3)s2)cc1
4.341035157,CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
6.677780705,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Br)cc34)s2)n1
3.539102157,NC(=O)c1ccc[n+](CC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)c1.[Cl-]
4.13076828,O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2cccc3ccccc23)no1
3.946921557,O=C(NNC(=S)Nc1cccc(C(F)(F)F)c1)c1nc(-c2cccc3ccccc23)no1
