Smiles,Dataset,Model
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCC2)C2C=C(c3ccccc3)C=C12,a2a,claude
C=C(CC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude
C=C(CCCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(c3ccccc3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CCC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=C(C)C3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3C)C=C12,a2a,claude
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(c3ccccc3)C=C12,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(CC)c(=O)n3C)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3CC)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3CF)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=S)n3C)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C(F)(F)F)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3CCO)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(c(=O)n(C)c(=O)n3C)n2CC)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3CO)cc1,a2a,claude
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(CCF)c(=O)n3C)cc1,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3)cc2n(CC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5cccc(F)c5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccc(Cl)cc5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccncc5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5cccnc5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5ccco5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(-c5cccs5)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OC)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(N(C)C)cc4)cc3)cc2n(CCC)c1=O,a2a,claude
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)Nc1ccccc1F,a2a,claude
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CCC2)c(=O)n3CC2CCC2)cc1)Nc1ccccc1,a2a,claude
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)Nc1cccc(F)c1,a2a,claude
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)Nc1ccc(Cl)cc1,a2a,claude
