Smiles,Dataset,Model
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(c3ccc[nH]3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCCCOC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCOCCC2)C2C=C(C3=CN=CC3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCNCC2)C2C=C(c3cccs3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCOCC2)C2C=C(c3ccco3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCCC2)C2C=C(c3ccccn3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCCCCC2)C2C=C(c3cnc[nH]3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCCCC2)C2C=C(C3=CC=NC3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCCNC2)C2C=C(C3=CC=CC3)C=C12,a2a,claude_scaffold
C=C(CCC)C1=CC=C(CC2CCCOCC2)C2C=C(c3ccn[nH]3)C=C12,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nnc3c(n2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(s2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3o2)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(o2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2ccc3c(c2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2cc3c(s2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nnc3c(n2)c(=O)[nH]c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(s2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3o2)cc1,a2a,claude_scaffold
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2cc3c(s2)c(=O)n(C)c(=O)n3C)cc1,a2a,claude_scaffold
