Smiles,Dataset,Model
C=C(CCNCC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCCO)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCCCN)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCCCS)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCCO)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C#CCCCC(=C)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CC)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCN1CC1)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCN1CC1)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=C(CCCCCl)C1=CC=C(CC2CCCCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c(C#N)c1,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c(N)c1,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1Cl,a2a,crem
C=CCCCCCC(N)CCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,a2a,crem
C=C(C)CCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1C,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1CN,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1OC,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c(N)c1,a2a,crem
C=CCCCCCCCCCCOCCOCCOCCOCCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c(CO)c1,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccc(C#N)cc4)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccccc4S)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccc(I)cc4)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccc(C#N)cc4)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccccc4)cc3O)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccc(NO)cc4)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccccc4)cc3)cc2n(CCCF)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccccc4)cc3)cc2n(CCCCO)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4cccc(C#N)c4)cc3)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCCCCCCCOc4ccccc4C)cc3)cc2n(CCC)c1=O,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5ccc(S)cc5)no4)cc3)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
CSc1ccc(-c2cc(CSc3ccc(-c4cc5c([nH]4)c(=O)n(CC4CC4)c(=O)n5CC4CC4)cc3)on2)cc1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5cccc(F)c5)no4)cc3)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5ccccc5)no4)cc3F)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5ccc(CCl)cc5)no4)cc3)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5cccc(O)c5)no4)cc3)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
Nc1ccccc1-c1cc(CSc2ccc(-c3cc4c([nH]3)c(=O)n(CC3CC3)c(=O)n4CC3CC3)cc2)on1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5ccccc5)no4)cc3Br)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
O=c1c2[nH]c(-c3ccc(SCc4cc(-c5ccccc5)no4)cc3Br)cc2n(CC2CC2)c(=O)n1CC1CC1,a2a,crem
Cc1cc(SCc2cc(-c3ccccc3)no2)ccc1-c1cc2c([nH]1)c(=O)n(CC1CC1)c(=O)n2CC1CC1,a2a,crem
Oc1ccc(CNc2nc3ccccc3c3cn(-c4ccccc4)nc23)cc1O,a2a,crem
Cn1cccc1CNc1nc2ccccc2c2cn(-c3ccccc3)nc12,a2a,crem
c1ccc(SCNc2nc3ccccc3c3cn(-c4ccccc4)nc23)cc1,a2a,crem
c1ccc(-n2cc3c(n2)c(NCCc2ccco2)nc2ccccc23)cc1,a2a,crem
c1ccc(-n2cc3c(n2)c(NCCN2CCCC2)nc2ccccc23)cc1,a2a,crem
c1ccc(-n2cc3c(n2)c(NCC2CCCCC2)nc2ccccc23)cc1,a2a,crem
COc1ccc(CNc2nc3ccccc3c3cn(-c4ccccc4)nc23)cc1O,a2a,crem
c1ccc(-n2cc3c(n2)c(NCCNCc2ccco2)nc2ccccc23)cc1,a2a,crem
c1ccc(-n2cc3c(n2)c(NCc2ccoc2)nc2ccccc23)cc1,a2a,crem
Cc1ccc(C=NNc2nc3ccccc3c3cn(-c4ccccc4)nc23)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2ccc(F)cc2)c1/N=C/c1ccc(Br)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2cccc(CCl)c2)c1/N=C/c1ccc(Br)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)cc1F,a2a,crem
CCc1ccc(CCn2c(/N=C/c3ccc(Br)cc3)c(C#N)sc2=S)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)c(C=O)c1,a2a,crem
CCc1ccc(CCn2c(/N=C/c3ccc(Br)cc3)c(C#N)sc2=S)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2ccccc2)c1/N=C/c1ccc(Br)c(F)c1,a2a,crem
N#Cc1sc(=S)n(CCc2ccc(NO)cc2)c1/N=C/c1ccc(Br)cc1,a2a,crem
N#Cc1sc(=S)n(CCc2ccc(CS)cc2)c1/N=C/c1ccc(Br)cc1,a2a,crem
C#Cc1ccc(CCn2c(/N=C/c3ccc(Br)cc3)c(C#N)sc2=S)cc1,a2a,crem
NCc1ccc(Cl)c(C(c2ccccc2)(c2ccccc2)n2ccnc2)c1,a2a,crem
COc1cccc(C(c2ccccc2)(c2ccccc2Cl)n2ccnc2)c1,a2a,crem
Clc1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)c(Cl)c1,a2a,crem
Fc1ccccc1C(c1ccccc1)(c1ccccc1Cl)n1ccnc1,a2a,crem
N#Cc1ccccc1C(c1ccccc1)(c1ccccc1Cl)n1ccnc1,a2a,crem
NCc1cccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)c1Cl,a2a,crem
ClCc1cccc(C(c2ccccc2)(c2ccccc2Cl)n2ccnc2)c1,a2a,crem
Fc1ccc(C(c2ccccc2)(c2ccccc2Cl)n2ccnc2)cc1,a2a,crem
CSc1cccc(C(c2ccccc2)(c2ccccc2Cl)n2ccnc2)c1,a2a,crem
Fc1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)c(Cl)c1,a2a,crem
CNCCCC(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,crem
N#Cc1c(NC(=O)CC2CC2)nc(-c2ccccc2)nc1-c1ccccc1,a2a,crem
CCCCC(=O)Nc1nc(NC(=O)CCC)c(C#N)c(-c2ccccc2)n1,a2a,crem
N#Cc1c(NC(=O)CCCCN)nc(-c2ccccc2)nc1-c1ccccc1,a2a,crem
N#Cc1c(NC(=O)C(N)=O)nc(-c2ccccc2)nc1-c1ccccc1,a2a,crem
CCN(CC)C(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,crem
CC(C)C(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,crem
CCCC(=O)Nc1nc(NC(=O)C2CCCC2)nc(-c2ccccc2)c1C#N,a2a,crem
CC(=O)OCC(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,crem
CCOC(=O)Nc1nc(-c2ccccc2)nc(-c2ccccc2)c1C#N,a2a,crem
N#Cc1sc(=S)n(-c2ccc(C=O)cc2)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2ccccc2O)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2cccc(I)c2)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2cccc(I)c2)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2ccc(CI)cc2)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(Cl)c(Cl)c1,a2a,crem
N#Cc1cc(/C=N/c2c(C#N)sc(=S)n2-c2ccccc2)ccc1Cl,a2a,crem
N#Cc1sc(=S)n(-c2ccccc2Cl)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2cccc(CI)c2)c1/N=C/c1ccc(Cl)cc1,a2a,crem
N#Cc1sc(=S)n(-c2ccccc2)c1/N=C/c1ccc(Cl)c(Br)c1,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3O)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3CO)cc2n(CCC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCCCBr)c1=O,a2a,crem
C#CCCCn1c(=O)n(CCC)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc21,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCCNC)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCCC#N)c1=O,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCCOC)c1=O,a2a,crem
CCCn1c(=O)n(CCCCN)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc21,a2a,crem
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCCF)c1=O,a2a,crem
C#CCCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)(C)C)cc4)cc3)cc2n(CCC)c1=O,a2a,crem
