Smiles,Dataset,Model
O=C(C=C1C=CC=C2CC(CC3CCCCC3)=CC=CC2=C1)C1CCCCC1,a2a,molmim
CC1(C)CCC2(CC=C3CC=C4CCCCCC=C4CC=C3C2)CC1,a2a,molmim
C=CCC1(C(=O)NCC2=CCN(C(=O)C3C=CC=CC=C3)CC2)CCCC1,a2a,molmim
C=CCC1=CCC=C2C(C1)CC1C=C(CC=C)CC2C1,a2a,molmim
O=C(NCCCCC(F)(F)F)C(c1ccccc1)c1cccc2c1CCCC2,a2a,molmim
C=CCC1(CC2C=CC=CC=C2)CCC2(C=CC=C2)CC12CCCC2,a2a,molmim
,a2a,molmim
,a2a,molmim
,a2a,molmim
,a2a,molmim
CCCCCCCCCCCCCOCCOCCOCCOCCN1C(=O)C=CC1=O,a2a,molmim
C=CCCCCCCCCCCOCCOC(=O)C[C@@H]1CCc2cc(O)c(O)cc2[C@@H]1O,a2a,molmim
COCCOCCOCCCCCCCCCCCCCOc1cnc2c(c1)CC(=O)N2,a2a,molmim
CCCCCCCCCCCCCCCCOCCOCCOC(=O)c1cccc(=O)[nH]1,a2a,molmim
CCCCCCCCCCCOCCOC[C@H](O)COC(=O)c1cnc2n[nH]c(C(=O)OCC)c2c1,a2a,molmim
CCCCCCCCCCCCCCCOCCOCCOCCS(=O)(=O)NCC,a2a,molmim
CCCCCCCCCCCCCCCCCCCOC[C@@H](O)COc1cc(C(=O)O)cc([N+](=O)[O-])c1,a2a,molmim
CCCCCCCCCCCCCCCCCCCCNCCC1=CCNC1=O,a2a,molmim
O=C(CCc1ccc2cc[nH]c2c1)NCCCCCCCCCCCCCCCC#CCN1CCCC1,a2a,molmim
CCCCCCCCCCCCCCCC(=O)NCCCNCCC1CC1,a2a,molmim
CCCn1c(-c2ccc(OCC(=O)Nc3ccc(C(=O)Nc4ccc(OCC)cc4)cc3)cc2)n[nH]c1=O,a2a,molmim
CCCn1c(=O)[nH]c2cc(C(=O)OCC(=O)Nc3ccc(-c4ccc(C)cc4)cc3)ccc21,a2a,molmim
Cc1ccc(-c2nc3ccc(C(=O)OCC(=O)Nc4ccc(-c5ccccc5)cc4)cc3[nH]c2=O)cc1C,a2a,molmim
CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(NC(=O)c4ccc(C(C)=O)cc4)cc3)nc2c1=O,a2a,molmim
CCCCn1c(=O)nc(-c2ccc(C(=O)OCc3ccc(C(=O)N(C)c4ccccc4)cc3)cc2)[nH]c1=O,a2a,molmim
CC(=O)Nc1ccc(-n2c(=O)cc(COc3ccc(C(=O)Nc4ccc(Cl)cc4)cc3)n(C)c2=O)cc1,a2a,molmim
CCCc1nn(C)c2[nH]c(=O)n(-c3ccc(CC(=O)Oc4ccc(NS(=O)(=O)c5ccccc5)cc4)cc3)c(=O)c12,a2a,molmim
CCCc1nc2ccccc2c(=O)n1-c1ccc(C(=O)NCc2ccc(NC(=O)OCc3ccccc3)cc2)cc1,a2a,molmim
CCCc1nc(-c2ccc(COC(=O)[C@@H](C)NC(=O)c3ccccc3)cc2)sc1C,a2a,molmim
,a2a,molmim
Cn1c(-c2ccc(OCC(=O)Nc3ccc(F)cc3)cc2)cc(=O)n(C2CCCC2)c1=O,a2a,molmim
O=c1[nH]c2cc(-c3ccc(OCc4cccnc4)c(F)c3)ccc2n(CC2CC2)c1=O,a2a,molmim
CCOC(=O)c1c(C2CC2)[nH]c2ncn(Cc3ccc(OCC(=O)NC)cc3)c(=O)c12,a2a,molmim
NCc1ccccc1COc1ccc(-c2ccc3c(=O)n(C4CC4)c(=O)[nH]c3n2)cc1,a2a,molmim
O=C(O)C1CCC2(CC1)NC(=O)N(Cc1ccc(OCc3ccccc3)cc1)C2=O,a2a,molmim
COc1ccc(CNC(=O)c2ccc3c(c2)n(C2CC2)c(=O)n3C2CC2)cc1-c1ccccc1,a2a,molmim
O=C(NCc1ccc(-n2cnc3ccccc32)cc1)c1cc(=O)n(C2CCCC2)c(=O)[nH]1,a2a,molmim
O=C(Oc1ccc(-c2ccc3[nH]ccc3c2)cc1)c1cnc2c(ccc(=O)n2C2CC2)c1,a2a,molmim
Cc1ccn2c(=O)cc(-c3ccc(C(=O)O)cc3)nc2c1C1CC1,a2a,molmim
C[C@H](CN(C)C(=O)C[C@@H]1C(=O)N(CC(F)(F)F)C(=O)N1C1CCC1)N(C)Cc1ccccc1,a2a,molmim
Cc1ccc2c(c1)c(NCCc1ccccc1)nc1ccccc12,a2a,molmim
c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,a2a,molmim
c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1,a2a,molmim
c1ccc(CCNc2nc(-c3ccccc3)c3ccccc3n2)cc1,a2a,molmim
c1ccc(CCNc2nc3ccccc3n3c(-c4ccccc4)cnc23)cc1,a2a,molmim
c1ccc(CCNc2ncnc3oc(-c4ccccc4)cc23)cc1,a2a,molmim
