Smiles,Dataset,Model
C=C(C)C1=CC=C(CC2CCCCCC2)C2C=C(C(C)=O)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCCC2)C2C=C(C)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCC2)C2C=C(C3=CC=CC3)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCCC2)C2C=C(C(=O)OCC)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCC2)C2C=C(C(C)=O)C=C12,a2a,reinvent
C=C(CC)C1=CC=C(CC2CCCCCC2)C2C=C(C(C)=O)C=C12,a2a,reinvent
C=C(CC)C1=CC=C(CC2CCCCCC2)C2C=C(C)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCC2)C2C=C(C(=O)OCC)C=C12,a2a,reinvent
C=C(CC)C1=CC=C(CC2CCCCCC2)C2C=C(C(=O)OCC)C=C12,a2a,reinvent
C=C(C)C1=CC=C(CC2CCCCCC2)C2C=C(C(=O)OC)C=C12,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCO)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCOCCO)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCCO)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCN)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCN(CCO)CC4)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCN(c5ccccc5)CC4)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCCCO)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCN(Cc5ccccc5)CC4)cc3)nc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCN(CCC(=O)O)CC4)cc3)nc2n(C)c1=O,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCCOCCOCCOCCC(C)C)cc3)nc21,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)cc2n(C)c1=O,a2a,reinvent
COc1ccc(NC(=O)COc2ccc(-c3cc4c([nH]3)c(=O)n(C)c(=O)n4C)cc2)cc1,a2a,reinvent
COc1cc(OCC(=O)Nc2ccc(-c3cc4c([nH]3)c(=O)n(C)c(=O)n4C)cc2)ccc1O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(C)c1=O,a2a,reinvent
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)cc2n(C)c1=O,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OC(C)(C)C(=O)Nc4ccc(Cl)cc4)cc3)cc21,a2a,reinvent
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)Nc1ccc(F)cc1,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OC(C)(C)C(=O)Nc4ccc(C)cc4)cc3)cc21,a2a,reinvent
COc1cc(OCC(=O)Nc2ccc(-c3cc4c([nH]3)c(=O)n(C)c(=O)n4C)cc2)ccc1Cl,a2a,reinvent
O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)Nc1ccccc1,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)cc21,a2a,reinvent
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccccc4)cc3)cc21,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OC)cc4)cc3)cc21,a2a,reinvent
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)cc21,a2a,reinvent
