Smiles,Dataset,Model
O=C(Nc1cccc(F)c1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1cccc(Br)c1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccc(F)cc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccncc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1cccnc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
Cc1cccc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)c1,aryl,claude
COc1cccc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)c1,aryl,claude
NCc1cccc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)c1,aryl,claude
O=C(Nc1cccc(F)c1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccc(F)cc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccncc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccccc1F)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
Cc1cccc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)c1,aryl,claude
COc1cccc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)c1,aryl,claude
O=C(Nc1ccsc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1ccoc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,claude
O=C(Nc1cccc(F)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude
O=C(Nc1cc(Cl)ccc1F)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude
O=C(Nc1ccc(Cl)cc1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,claude
O=C(Nc1cccc(Br)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cc(F)c(N2CCN(c3ccncc3)CC2)cn1,aryl,claude
Fc1cc(C(=S)Nc2cccc(Cl)c2)cnc1N1CCN(c2ccncc2)CC1,aryl,claude
O=C(Nc1cncc(Cl)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cnc(N2CCCN(c3ccncc3)CC2)c(F)c1,aryl,claude
O=C(Nc1cccc(Cl)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1F,aryl,claude
