Smiles,Dataset,Model
O=C(Nc1cccc(F)c1)c1cn(Cl)c(Nc2ccc(N3CCNCC3)nc2)n1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1csc(Nc2ccc(N3CCOCC3)nc2)n1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1coc(Nc2ccc([SH]3CCSCC3)nc2)n1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1cc(Nc2ncc(N3CCNCC3)s2)n(Cl)c1,aryl,claude_scaffold
Cn1nc(C(=O)Nc2cccc(F)c2)nc1Nc1ccc(N2CCOCC2)nn1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1csc(Nc2ncc([SH]3CCSCC3)s2)n1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1nc(Cl)c(Nc2ccc(N3CCNCC3)nc2)o1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1cn(Cl)c(Nc2cnc(N3CCOCC3)s2)n1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1nc(Cl)c(Nc2ncc(N3CCNCC3)s2)s1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1ccc(Nc2nc3ccc(N4CCNCC4)nc3cc2Cl)nc1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1ccc(Nc2nc3ccc(N4CCOCC4)nc3cc2Cl)nc1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1ccc(Nc2nc3ccc([SH]4CCSCC4)nc3cc2Cl)nc1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1cnc(Nc2nc3ccc(N4CCNCC4)nc3cc2Cl)nc1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1ccc(Nc2nc3ccc([SH]4CCSCC4)nc3cc2Cl)nc1,aryl,claude_scaffold
O=C(Nc1ccc(Br)cc1)c1cnc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,claude_scaffold
O=S(=O)(Nc1ccc(F)cc1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3ccncn3)CC2)cc1,aryl,claude_scaffold
O=C(Nc1ccc(F)cc1F)c1ncc(N2CCN(c3ccncn3)CC2)s1,aryl,claude_scaffold
O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(N2CCN(c3ccno3)CC2)cc1,aryl,claude_scaffold
O=C(Nc1ccc(Br)cc1)c1ncc(N2CCN(c3cccs3)CC2)cn1,aryl,claude_scaffold
O=C(Nc1ccnc(Cl)c1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,aryl,claude_scaffold
N#Cc1ccc(NC(=O)c2ccc(N3CCN(c4cscn4)CC3)c(F)c2)cc1,aryl,claude_scaffold
O=C(Nc1ccc(Cl)cc1)c1ncc(N2CCN(c3cc[nH]n3)CC2)cc1F,aryl,claude_scaffold
Cn1ccc(N2CCN(c3ccc(S(=O)(=O)Nc4ccc(F)c(Cl)c4)cc3)CC2)n1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(c3cccc(F)c3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCOCC2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(C3=NCCN3)CC2)nc1,aryl,claude_scaffold
O=C(NC1CCC1)c1cnc(N2CCN(c3ccsc3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnn(N2CCN(c3cccnc3)CC2)c1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(c3ccco3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(C3CCOCC3)CC2)nc1,aryl,claude_scaffold
COc1cccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c1,aryl,claude_scaffold
Cc1cccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCOCC2c2ccccc2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnn(N2CCN(c3cccc(F)c3)CC2)c1,aryl,claude_scaffold
O=C(NC1CCC1)c1cnc(N2CCN(c3cccc(Cl)c3)CC2)nc1,aryl,claude_scaffold
Cc1ccccc1N1CCCN(c2ncc(C(=O)NCC3CC3)cn2)CC1,aryl,claude_scaffold
COc1cccc(N2CCN(c3ccc(C(=O)NCC4CC4)cn3)CC2)c1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CC1)c1cnc(N2CCN(c3cccc(CF)c3)CC2)nc1,aryl,claude_scaffold
Cc1cccc(N2CCN(c3ncc(C(=O)NC4CCO4)cn3)CC2)c1,aryl,claude_scaffold
Cc1ccccc1N1CCN(c2ncc3nc4c(nc3c2Cl)C(=O)NC4=O)CC1,aryl,claude_scaffold
Cc1cccc(N2CCN(c3cc4nc(C5CC5)sc4cn3)CC2)n1,aryl,claude_scaffold
Cc1cccc(N2CCN(c3nc(Cl)nc4nc(C5CC5)oc34)CC2)c1,aryl,claude_scaffold
Cc1cccc(N2CCN(C3=NOC(C4CC4)=Nc4cc(Cl)ncc43)CC2)c1,aryl,claude_scaffold
Fc1c(Cl)ncc2c1N=C(C1CC1)ON=C2N1CCNCC1,aryl,claude_scaffold
Brc1cc2c(cn1)C(N1CCN(C3CCCCC3)CC1)=NOC(C1CCC1)=N2,aryl,claude_scaffold
Fc1cc2c(cn1)C(N1CCN(c3cccnc3)CC1)=NOC(C1CCO1)=N2,aryl,claude_scaffold
Ic1cc2c(cn1)C(N1CCN(c3ccncc3)CC1)=NOC(C1CCS1)=N2,aryl,claude_scaffold
FC(F)(F)c1cc2c(cn1)C(N1CCN(c3ccco3)CC1)=NOC(C1CCN1)=N2,aryl,claude_scaffold
COc1cc2c(cn1)C(N1CCN(c3ccsc3)CC1)=NOC(C1CCC1)=N2,aryl,claude_scaffold
Nc1cc2c(cn1)C(N1CCN(c3cccs3)CC1)=NOC(C1C3CCC1C3)=N2,aryl,claude_scaffold
Cn1nccc1N1CCN(C2=NOC(C3CCCO3)=Nc3cc(CF)ncc32)CC1,aryl,claude_scaffold
CNc1cc2c(cn1)C(N1CCN(c3ccc4c(c3)OCO4)CC1)=NOC(C1CCCS1)=N2,aryl,claude_scaffold
ClC1=Nc2cc(N3CCC3)ncc2ON=C1N1CCCCC1,aryl,claude_scaffold
Clc1cc2c(cn1)ON=C1CC3(CCCCO3)CC1=N2,aryl,claude_scaffold
c1ccc2c3onc(C4CCCC4)nc-3nc2c1,aryl,claude_scaffold
Clc1cc2c(cn1)ON=C(N1CCOCC1)C(C1CC1)=N2,aryl,claude_scaffold
Cc1cccc(N2CCN(c3ncc(-c4nc(C5CC5)no4)cc3F)CC2)c1,aryl,claude_scaffold
FC(F)(F)c1ccccc1N1CCN(c2ncc(-c3nc(C4CCC4)no3)cc2Cl)CC1,aryl,claude_scaffold
Cc1cccc(C2COCCN2c2ncc(-c3nc(C4CC4)ns3)cc2Br)c1,aryl,claude_scaffold
Nc1cccc(N2CCN(c3ncc(-c4nc(C5CCO5)no4)cc3I)CC2)c1,aryl,claude_scaffold
Cc1cccc(N2CCN(c3ncc(-c4nc([SH]5CC5)no4)cc3Cl)CC2)n1,aryl,claude_scaffold
Oc1cccc(N2CCCN(c3cnc(-c4nc(C5CC5)no4)cc3Cl)CC2)c1,aryl,claude_scaffold
Sc1cccc(N2CCN(c3ncc(-c4nc(C5CCN5)no4)cc3Cl)CC2)c1,aryl,claude_scaffold
Cc1cccc2c1CC1CCC(C1)c1noc(n1)-c1cnc(c(Cl)c1)N1CCN2CC1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1cnc(-c2ccccn2)c(Cl)c1,aryl,claude_scaffold
O=C(Nc1ccnc(Cl)c1)c1cc(F)c(-c2ccccc2)cn1,aryl,claude_scaffold
O=C(Nc1cccc(Br)c1)c1ccccc1-c1cnnc(Cl)c1,aryl,claude_scaffold
O=S(=O)(Nc1cccc(Cl)c1)c1cnc(-c2ccncc2)c(Cl)c1,aryl,claude_scaffold
COc1cccc(NC(=O)c2cnc(-c3ccccc3)c(Br)c2)c1,aryl,claude_scaffold
O=C(Nc1cccc(Cl)c1)c1cnc(N2CCOCC2)c(Cl)c1,aryl,claude_scaffold
Nc1cccc(Cl)c1.O=[N+]([O-])c1cnc(-c2ccccc2)c(F)c1,aryl,claude_scaffold
O=C(Nc1cccc(F)c1)c1cc(Cl)c(-c2ccccc2)[nH]c1=O,aryl,claude_scaffold
O=C(Nc1cccc(Cl)c1)c1cnc(-c2cccs2)c(Cl)c1,aryl,claude_scaffold
O=C(Nc1cccc(Cl)c1)c1cc(Cl)cc2cccnc12,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1cnc(N2CCN(c3cncnc3)CC2)cc1Cl,aryl,claude_scaffold
O=C(NCc1cccc(F)c1)c1cnc(N2CCN(c3ccncn3)CC2)cc1F,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
O=S(=O)(NCc1cccc(Cl)c1)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
O=C(NCc1cccc(Br)c1)c1ccc(N2CCN(c3cccnc3)CC2)nc1,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1cnn(N2CCN(c3ccncc3)CC2)c1,aryl,claude_scaffold
Cc1cc(N2CCN(c3ccc(C(=O)NCc4cccc(Cl)c4)cn3)CC2)ccn1,aryl,claude_scaffold
O=C(NCc1cccc(F)c1)c1ccc(N2CCN(c3ccncc3F)CC2)nc1,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1ccc(N2CCCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1ccc(N2CCN(c3ccncc3)C(F)C2)nc1,aryl,claude_scaffold
O=C(NCCc1ccc(F)cc1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C(NCc1ccc(Br)cc1)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,aryl,claude_scaffold
COc1ccc(CCNC(=O)c2cc(F)c(N3CCN(c4ccccn4)CC3)cn2)cc1,aryl,claude_scaffold
O=C(NCCc1cccc(Cl)c1)c1cnc(N2CCN(c3cncnc3)CC2)c(Br)c1,aryl,claude_scaffold
O=C(NCc1cccc(F)c1)c1cnc(N2CCN(c3ccncc3)CC2)c(I)c1,aryl,claude_scaffold
O=C(NCc1ccc(Cl)cc1)c1cc(F)c(N2CCN(c3cccnc3)CC2)cn1,aryl,claude_scaffold
O=C(NCCc1ccsc1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C(NCc1ccoc1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C(NCCc1ccncc1)c1cnc(N2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold
O=C(NCCc1ccc(Br)cc1)c1cnc(N2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold
O=C(NCCc1ccc(Cl)cc1)c1ncc(N2CCN(c3ccccn3)CC2)cc1F,aryl,claude_scaffold
O=C(NCCc1ccc(F)cc1)c1cc(N2CCN(c3ccncc3)CC2)c(Cl)cn1,aryl,claude_scaffold
O=C(NCCc1cccc(Cl)c1)c1cnc(Cl)c(N2CCN(c3ccncc3)CC2)c1,aryl,claude_scaffold
NCCc1ccc(C(F)(F)F)c(NC(=O)c2ccc(N3CCN(c4ccncn4)CC3)nc2)c1,aryl,claude_scaffold
O=C(NCc1cccc(Cl)c1)c1cnc(N2CCN(c3cncnc3)CC2)c(F)c1,aryl,claude_scaffold
N#Cc1ccc(CNC(=O)c2ccnc(N3CCN(c4ccncc4)CC3)c2Cl)cc1,aryl,claude_scaffold
O=C(NCCc1ccc(Cl)cc1)c1ccc(F)c(N2CCN(c3cccnc3)CC2)n1,aryl,claude_scaffold
O=C(NCCc1ccsc1)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
NCCc1ccc(NC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)c(Br)c1,aryl,claude_scaffold
O=C(NCCc1ccc(F)cc1)c1cnc(N2CCN(c3ccccn3)CC2)cc1Cl,aryl,claude_scaffold
O=C(NCCc1ccc(Br)cc1)c1cc(F)c(N2CCN(c3cncnc3)CC2)cn1,aryl,claude_scaffold
O=C(NCCc1ccsc1)c1ccc(N2CCN(c3ccncc3F)CC2)nc1,aryl,claude_scaffold
O=C(NCCc1cccc(Cl)c1)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
COc1ccc(CCNC(=O)c2cnc(N3CCN(c4cccnc4)CC3)c(Cl)c2)cc1,aryl,claude_scaffold
O=C(NCCc1cccc(F)c1F)c1cnc(N2CCN(c3ccncc3)CC2)cc1Br,aryl,claude_scaffold
O=C(NCCc1ccc(Cl)cc1)c1ccc(N2CCN(c3ccccn3)CC2)cn1,aryl,claude_scaffold
COc1cccc(CCNC(=O)c2cnc(N3CCN(c4cncnc4)CC3)c(F)c2)c1,aryl,claude_scaffold
O=C(NCCc1ccc(F)cc1F)c1ncc(N2CCN(c3ccncc3)CC2)cc1Cl,aryl,claude_scaffold
O=C(NCCc1ccsc1)c1ccc(N2CCN(c3cccnc3)CC2)cn1,aryl,claude_scaffold
O=C(NCC1CCCO1)c1cnc(N2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold
O=C(NCC1CCCO1)c1cnc(N2CCN(c3ccncc3)CC2)cc1Br,aryl,claude_scaffold
O=C(NCC1CCOC1)c1ccc(N2CCN(c3ccccn3)CC2)cn1,aryl,claude_scaffold
O=C(NCC1CCOCC1)c1cncc(N2CCN(c3cncnc3)CC2)c1,aryl,claude_scaffold
O=C(NCC1CCOC1)c1cncc(N2CCN(c3ccncn3)CC2)c1,aryl,claude_scaffold
O=C(NCC1CCSC1)c1ccc(N2CCN(c3cccnn3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CCOC1)c1cnc(N2CCNCC2)c(N2CCSC2)c1,aryl,claude_scaffold
O=C(NCC1CCNCC1)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,claude_scaffold
NCC1OCCC1NC(=O)c1ccc(N2CCN(c3cncnc3)CC2)nc1,aryl,claude_scaffold
O=C(NCC1CCCOC1)c1cncc(N2CCN(c3ccncn3)CC2)c1,aryl,claude_scaffold
O=C(NC1CC1)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C1c2nccc(F)c2CCN1CCN(CCO)c1ccncc1,aryl,claude_scaffold
O=C(NC1COC1)c1cnc(N2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold
O=C(NC1CCOC1)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,aryl,claude_scaffold
NCCN(CCN1CCc2c(Br)ccnc2C1=O)c1ccncc1,aryl,claude_scaffold
O=C(NC1CCC1)c1cnc(N2CCN(c3cccnc3)CC2)c(Cl)c1,aryl,claude_scaffold
O=C(NC1CCOCC1)c1cnc(N2CCN(c3cccnc3)CC2)c(F)c1,aryl,claude_scaffold
CC1(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(F)c2)COC1,aryl,claude_scaffold
O=C(NC1CC1CO)c1cnc(N2CCN(c3ccncc3)CC2)c(Cl)c1,aryl,claude_scaffold
CC1(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(Br)c2)CSC1,aryl,claude_scaffold
CCC1(NC(=O)c2cnc(N3CCN(c4ccncc4)CC3)c(I)c2)CO1,aryl,claude_scaffold
COc1cc(C(=O)NC2(C)CO2)cnc1N1CCN(c2ccncc2)CC1,aryl,claude_scaffold
O=c1nc(N2CCCN(c3ccncc3)CC2)[nH]c2ccc(Cl)cc12,aryl,claude_scaffold
O=c1nc(N2CCN(c3cncnc3)CC2)c2cc(Cl)ccc2[nH]1,aryl,claude_scaffold
O=c1c2cc(Cl)ccc2nc(N2CCCCC2)n1Cc1ccncc1,aryl,claude_scaffold
O=c1[nH]c2c(Cl)cccc2c(=O)n1C1CCN(c2ccncc2)CC1,aryl,claude_scaffold
Clc1cccc(Nc2nc(N3CCCCC3)nc3cccnc23)c1,aryl,claude_scaffold
Nc1ccc(Cl)cc1C(=O)NC1CCCN(c2ccncc2)C1,aryl,claude_scaffold
O=c1[nH]c(N2CCN(c3ccncc3)CC2)nc2ccc(Cl)cc12,aryl,claude_scaffold
O=c1[nH]c(Nc2cccc(Cl)c2)cc2nc(N3CCCCC3)ncc12,aryl,claude_scaffold
O=c1nc(N2CCC(Nc3ccncc3)CC2)c2cc(Cl)ccc2[nH]1,aryl,claude_scaffold
