Smiles,Dataset,Model
CN(C(=O)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1cccc(C#N)n1,aryl,crem
CN1CCN(c2cc(Nc3ncc(C(=O)Nc4cccc(C#N)n4)cc3Cl)ccn2)CC1,aryl,crem
CN(C(=O)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1cccc(C#N)n1,aryl,crem
N#Cc1cc(CN)cc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)n1,aryl,crem
N#Cc1ccc(F)c(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)n1,aryl,crem
N#Cc1ccc(O)c(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)n1,aryl,crem
N#Cc1cc(CN)cc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)n1,aryl,crem
COc1nc(Nc2ccnc(N3CCNCC3)c2)c(Cl)cc1C(=O)Nc1cccc(C#N)n1,aryl,crem
N#Cc1cc(N)cc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)n1,aryl,crem
N#Cc1cccc(NC(=O)c2cc(Cl)c(Nc3ccnc(N4CCNCC4)c3)nc2Cl)n1,aryl,crem
O=C(c1ccccc1NS(=O)(=O)c1cc(Cl)ccc1Br)N1CCN(c2ccncc2)CC1,aryl,crem
O=C(c1ccccc1NS(=O)(=O)c1cc(Cl)cc(I)c1)N1CCN(c2ccncc2)CC1,aryl,crem
NNc1ccc(C(=O)N2CCN(c3ccncc3)CC2)c(NS(=O)(=O)c2cccc(Cl)c2)c1,aryl,crem
N#Cc1cc(Cl)cc(S(=O)(=O)Nc2ccccc2C(=O)N2CCN(c3ccncc3)CC2)c1,aryl,crem
O=C(c1ccccc1NS(=O)(=O)c1ccc(F)c(Cl)c1)N1CCN(c2ccncc2)CC1,aryl,crem
Nc1cccc(NS(=O)(=O)c2cccc(Cl)c2)c1C(=O)N1CCN(c2ccncc2)CC1,aryl,crem
Nc1ccc(C(=O)N2CCN(c3ccncc3)CC2)c(NS(=O)(=O)c2cccc(Cl)c2)c1,aryl,crem
O=C(c1ccccc1NS(=O)(=O)c1ccc(CCl)c(Cl)c1)N1CCN(c2ccncc2)CC1,aryl,crem
NCc1cc(Cl)cc(S(=O)(=O)Nc2ccccc2C(=O)N2CCN(c3ccncc3)CC2)c1,aryl,crem
O=C(c1ccccc1NS(=O)(=O)c1ccc(CCl)c(Cl)c1)N1CCN(c2ccncc2)CC1,aryl,crem
Cc1c(O)cccc1N1CCN(c2ncc(C(=O)NCC3CC3)cn2)CC1,aryl,crem
C#Cc1ccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c(C)c1,aryl,crem
O=C(NCC1CC1)c1cnc(N2CCN(c3ccccc3CCCl)CC2)nc1,aryl,crem
Cc1ccc(NO)cc1N1CCN(c2ncc(C(=O)NCC3CC3)cn2)CC1,aryl,crem
Cc1ccc(CBr)cc1N1CCN(c2ncc(C(=O)NCC3CC3)cn2)CC1,aryl,crem
O=C(NCC1CC1)c1cnc(N2CCN(c3ccccc3CCl)CC2)nc1,aryl,crem
Cc1cccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c1C,aryl,crem
NNCc1ccccc1N1CCN(c2ncc(C(=O)NCC3CC3)cn2)CC1,aryl,crem
COc1ccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c(C)c1,aryl,crem
COc1ccc(C)c(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)c1,aryl,crem
Nc1ccccc1N1CCN(c2ncc(-c3nc(C4CC4)no3)cc2Cl)CC1,aryl,crem
NCCCCN1CCN(c2ncc(-c3nc(C4CC4)no3)cc2Cl)CC1,aryl,crem
O=C(Cc1ccccc1)N1CCN(c2ncc(-c3nc(C4CC4)no3)cc2Cl)CC1,aryl,crem
CC(=O)N1CCC(N2CCN(c3ncc(-c4nc(C5CC5)no4)cc3Cl)CC2)CC1,aryl,crem
Nc1ccc(CN2CCN(c3ncc(-c4nc(C5CC5)no4)cc3Cl)CC2)cc1,aryl,crem
Cc1ccccc1N1CCN(c2ncc(-c3ccc(CO)cc3)cc2Cl)CC1,aryl,crem
Clc1cc(-c2nc(C3CC3)no2)cnc1N1CCN(c2ccncc2)CC1,aryl,crem
Cc1ccccc1N1CCN(c2ncc(C(=O)NCc3ccncc3)cc2Cl)CC1,aryl,crem
CC(=O)c1ccccc1N1CCN(c2ncc(-c3nc(C4CC4)no3)cc2Cl)CC1,aryl,crem
Clc1cc(-c2nc(C3CC3)no2)cnc1N1CCN(CCc2ccncc2)CC1,aryl,crem
O=C(C1CCCCC1)N1CCN(c2ncc(-c3noc(C4CC4)n3)cc2Cl)CC1,aryl,crem
NNC(=O)CCN1CCN(c2ncc(-c3noc(C4CC4)n3)cc2Cl)CC1,aryl,crem
Cc1ccccc1N1CCN(c2ncc(OC(=O)c3ccc(N)cc3)cc2Cl)CC1,aryl,crem
Clc1cc(-c2noc(C3CC3)n2)cnc1N1CCN(CCc2ccccc2)CC1,aryl,crem
Clc1cc(-c2noc(C3CC3)n2)cnc1N1CCN(CCOc2ccccc2)CC1,aryl,crem
Fc1cccc(CN2CCN(c3ncc(-c4noc(C5CC5)n4)cc3Cl)CC2)c1,aryl,crem
Clc1cc(-c2noc(C3CC3)n2)cnc1N1CCN(CCc2ccncc2)CC1,aryl,crem
CCOC(=O)CCN1CCN(c2ncc(-c3noc(C4CC4)n3)cc2Cl)CC1,aryl,crem
COc1cccnc1N1CCN(c2ncc(-c3noc(C4CC4)n3)cc2Cl)CC1,aryl,crem
CC(=O)Nc1ccc(-c2cnc(N3CCN(c4ccccc4C)CC3)c(Cl)c2)cc1,aryl,crem
CCN(C(=O)c1cnc(-c2ccccc2)c(Cl)c1)c1cccc(Cl)c1,aryl,crem
O=C(Nc1ccc(O)c(Cl)c1)c1cnc(-c2ccccc2)c(Cl)c1,aryl,crem
CSc1ccc(-c2ncc(C(=O)Nc3cccc(Cl)c3)cc2Cl)cc1,aryl,crem
