Smiles,Dataset,Model
O=C(Nc1cccc(F)c1)c1cc(Cl)c(N2CCCNCC2)nn1,aryl,molmim
O=C(Nc1cccc(Cl)c1)c1ccc(Nc2cc(N3CCNCC3)ncn2)cc1F,aryl,molmim
Cn1nc(N2CCOCC2)cc1NC(=O)c1ccc(Nc2cccc(F)c2)nc1,aryl,molmim
CCOc1cc(C(=O)Nc2cccc(F)c2)nnc1Nc1cccc(Cl)c1,aryl,molmim
O=C(Nc1cccc(F)c1)c1ccc(Nc2cc3c(nn2)CCNC3=O)cc1Cl,aryl,molmim
Cc1cc(F)ccc1C(=O)Nc1ccc(N2CCNCC2)nn1,aryl,molmim
CS(=O)(=O)NCCNc1cc(Nc2ccc(C(=O)Nc3cccc(F)c3)cc2)ncn1,aryl,molmim
O=C(Nc1cccc(Cl)c1)c1ccc(F)c(Nc2cccc(C(=O)Nc3ccccn3)n2)c1,aryl,molmim
Fc1ccc(Nc2ccc(Nc3nccc(CN4CCCC4)n3)c(Cl)c2)cc1,aryl,molmim
CCNC(=O)Nc1cccc(Nc2nnc(-c3cccc(Cl)c3)o2)c1,aryl,molmim
Fc1ccc(N2CCN(c3ncccc3F)CC2)nc1NCc1cccc(Cl)c1,aryl,molmim
CNC(=O)c1cccc(NC(=O)c2cc(NC(=O)N3CCn4ccnc4C3)ccc2F)c1,aryl,molmim
CCN1CCN(c2nnc(C(=O)Nc3cccc(C)c3)n2Cc2cccc(F)c2)CC1,aryl,molmim
O=C(Nc1cccnc1)[C@H](c1ccccc1F)N1CCc2nccc(Cl)c2C1,aryl,molmim
Fc1cccc2c1N(c1ccccc1)CCN(c1ncc(Cl)cn1)C2,aryl,molmim
O=C(Nc1ccccc1F)c1nc(N2CCc3cccnc3C2)ncc1Cl,aryl,molmim
O=C(Nc1ccc(F)cc1)c1cc(NCc2cn3c(n2)CCC3)ccc1F,aryl,molmim
O=C(CCCN1CCCCC1)Nc1nc2c(cc1C(=O)Nc1ccc(Cl)cc1F)CCCC2,aryl,molmim
CN1CCc2ncnc(Nc3cc(C(=O)NCc4ccccc4)ccc3Cl)c2C1,aryl,molmim
CCCN1CCN(c2ccc(F)cc2C(=O)NCCN(C)C)CC1,aryl,molmim
CN1Cc2ccccc2N2CCN(c3ccc(C(=O)NCC4CC4)cc3)C[C@@H]2C1,aryl,molmim
Cc1cccc(C(=O)NC2CCCC2)c1S(=O)(=O)N1CCN(C)c2ccccc21,aryl,molmim
CCNC(=O)c1cc(N2CCN(C)c3ccccc32)nc(C)n1,aryl,molmim
CC(=O)CCN(C)c1ncnc2c1CCN(C)[C@@H]2c1ccccc1,aryl,molmim
CN(C)Cc1ccccc1Nc1cc(C(=O)N2CCCC2)ncn1,aryl,molmim
CCCC(=O)N(CCN1CCN(CC)CC1)Cc1ccccc1,aryl,molmim
CCCC(=O)N1CCc2ncnc(N3CCN(C)CC3)c2C1,aryl,molmim
CCN1C(=O)c2c(ncnc2N2CCCc3ccc(F)cc3C2)Cc2ccccc21,aryl,molmim
CN(C)CCOC(=O)c1cc(NCCOC(C)(C)C)ncn1,aryl,molmim
CN1CCN(Cc2noc(CCN3CCCC3)n2)CC1=O,aryl,molmim
CN1CCN(c2nc(Cc3cccc(Cl)c3)nc3onc(C4CCC4)c23)CC1,aryl,molmim
CN1CCN(c2nc(Cl)nc3c2SCCC3)Cc2ccccc21,aryl,molmim
Cc1noc2nc(Cc3ccc(Cl)cc3)nc(N3CCCN(C)Cc4ccccc43)c12,aryl,molmim
CCc1noc2nc(CN3CCN(C)c4cc(Cl)ccc4C3)cc(C)c12,aryl,molmim
Cn1cnc2c(Nc3ccc(Cl)cc3CN3CCOc4ccccc4C3)nc(C3CCOCC3)nc21,aryl,molmim
c1ccc2c(c1)CCCN(c1ncnc3oc4c(c13)CCCC4)CC2,aryl,molmim
CN1CCN(C(=O)Nc2nc(Cl)nc3oc4c(c23)CCCC4)CCc2ccccc21,aryl,molmim
CN1CCCN(Cc2nc(-c3cccc4ccc(Br)nc34)no2)CC1,aryl,molmim
CN1C[C@@H](c2nc(N3CCCC3)c3c4c(oc3n2)CCC4)C2(CCNCC2)C1,aryl,molmim
Cc1oc2c(c1NC(=O)C(=O)N1CCCN(Cc3ccccc3)CC1)CCCC2,aryl,molmim
CCC(=O)N1CCN(c2cnc3cc(C)c(Br)cc3n2)Cc2ccccc21,aryl,molmim
CN1CCN(c2nc(Cl)nc3c2ncn3CC2CCC2)Cc2ccc3ccccc3c21,aryl,molmim
CC(C)(C)OC(=O)N1CCOC2(CCN(c3ncnc4ccc(Cl)cc34)CC2)C1,aryl,molmim
CCc1nc(N2CCN(C)Cc3ccccc32)c2c(C)c(C)oc2n1,aryl,molmim
Cc1cc(N2CCN(C)c3c(Cl)cccc3C2)cn2c(C(=O)N3CCCC3)nnc12,aryl,molmim
CN1CCN(CCc2noc(Cc3noc4cc(Cl)ccc34)n2)C1=O,aryl,molmim
CN1CCN(S(=O)(=O)c2cc(Cl)cc3c2CCCC3)Cc2ccccc21,aryl,molmim
CCCn1ncc2c(Cl)cc(C(=O)N(C)CCN3CCc4ccccc4C3)nc21,aryl,molmim
,aryl,molmim
,aryl,molmim
O=C(Nc1cccc(NCc2cccc(Cl)c2)c1)c1ccccc1,aryl,molmim
COc1cccc(NC(=O)c2cccc(Cl)c2-c2ccccc2)c1,aryl,molmim
Nc1cc(NC(=O)c2ncccc2Cl)ccc1Cl,aryl,molmim
O=C(Nc1ccc(Cl)c(Cl)c1)[C@@H](c1ccccc1)c1ccccn1,aryl,molmim
O=C(c1ccc(Cl)c(Cl)c1)N(c1ccccc1)c1ccccn1,aryl,molmim
O=C(Nc1cccc(Cl)c1Cl)/C(=C/c1ccccn1)c1ccccc1,aryl,molmim
O=C(Nc1cccnc1Cl)c1cnn2cccnc12,aryl,molmim
OCCNC(c1ccccc1Cl)c1ncccc1Cl,aryl,molmim
O=[N+]([O-])c1ccc(Cl)cc1N=Cc1ccccc1Cl,aryl,molmim
N#Cc1cnccc1C(=O)NCC(Cl)Cl,aryl,molmim
O=C(NCc1cccc(Cl)c1)c1cccc(N([C@H]2CCNc3cccnc32)S(=O)(=O)c2cccnc2)c1,aryl,molmim
CN(c1cc(C(=O)NCc2cccc(Cl)c2)ccn1)[C@H]1CNCc2nc[nH]c2C1,aryl,molmim
O=C(NCc1ccc(Cl)cc1)[C@@H](Cc1cccc(Cl)c1)Nc1ncc2c(n1)CCNC2,aryl,molmim
CN1CCC[C@@H](Nc2cc(C(=O)NCc3ccncc3)c(Br)cn2)C1,aryl,molmim
CN1CCc2ncnc(Nc3ccc(Cl)c(C(=O)NCc4ccccc4)c3)c2C1,aryl,molmim
CN1CCN(Cn2nc(C(=O)NCc3ccc(Cl)cc3)ccc2=O)Cc2ccccc21,aryl,molmim
O=C(CN(Cc1ccc2c(c1)CNCC2)c1ncccn1)Nc1cccc(Cl)c1,aryl,molmim
CNC(=O)c1cc(Cl)cc(SCC(=O)N2CCN(C)CC2)c1,aryl,molmim
O=c1c(Cl)c2c(nn1Cc1ccc(CN3CCCC3)cc1)CCNC2,aryl,molmim
CN1CCc2c(coc2C(=O)NCCN(C)C(=O)c2cc[n+]([O-])cc2)C1,aryl,molmim
Cc1cc(Cl)ccc1C(=O)NCc1cnc(N2CCN(C(C)C)CC2)c(C)c1,aryl,molmim
Cc1ccc(C(=O)NCCNc2nc3ccc(Cl)cc3nc2NCCc2ccc(Cl)cc2)cc1,aryl,molmim
