Smiles,Dataset,Model
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1ccc(C(F)(F)F)cc1,aryl,reinvent
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1ccccc1C(F)(F)F,aryl,reinvent
CC(C)n1cc(NC(=O)c2cnc(Nc3ccnc(N4CCNCC4)c3)c(Cl)c2)cn1,aryl,reinvent
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)C1CCOCC1,aryl,reinvent
O=C(Nc1ccccc1)c1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1,aryl,reinvent
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1ccccc1F,aryl,reinvent
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1cccc(C(F)(F)F)c1,aryl,reinvent
O=C(Nc1cnc(Nc2ccnc(N3CCNCC3)c2)c(Cl)c1)c1ccccn1,aryl,reinvent
Cc1ccccc1NC(=O)c1cnc(Nc2ccnc(N3CCN(C)CC3)c2)c(Cl)c1,aryl,reinvent
O=C(Nc1cccc(F)c1)c1cnc(Nc2ccnc(NC3CCOCC3)c2)c(Cl)c1,aryl,reinvent
O=C(Nc1ccccc1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,aryl,reinvent
O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3ncccn3)CC2)c(F)c1,aryl,reinvent
O=C(Nc1ccccc1)c1ccc(N2CCN(c3ccncc3)CC2)nc1,aryl,reinvent
O=C(Nc1ccc(Cl)cc1)c1ccc(N2CCN(c3ncccn3)CC2)c(F)c1,aryl,reinvent
O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,aryl,reinvent
O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3ncccn3)CC2)nc1,aryl,reinvent
O=C(Nc1cccc(Cl)c1)c1ccc(N2CCN(c3ncccn3)CC2)cc1,aryl,reinvent
Cc1ccc(NC(=O)c2ccc(N3CCN(c4ccncc4)CC3)nc2)cc1,aryl,reinvent
O=C(Nc1ccc(Cl)cc1)c1ccc(N2CCN(c3ccncc3)CC2)cc1,aryl,reinvent
O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccc(N2CCN(c3ccncc3)CC2)c(F)c1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3cccc(Cl)c3)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCC(c3ccccc3)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3cc(Cl)ccc3Cl)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCC(Oc3ccccc3Cl)CC2)nc1,aryl,reinvent
CC(C)(O)c1ccc(N2CCN(c3ncc(C(=O)NCC4CC4)cn3)CC2)cc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3ccccc3C(F)(F)F)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3ccccc3Cl)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3ncccc3Cl)CC2)nc1,aryl,reinvent
O=C(NCC1CC1)c1cnc(N2CCN(c3ccc(Cl)cc3)CC2)nc1,aryl,reinvent
Cc1ccccc1N1CCN(c2ncc(C(=O)NCc3ccccc3)cn2)CC1,aryl,reinvent
Cc1noc(-c2cnc(N3CCN(c4ccc(C#N)cc4C)CC3)c(Cl)c2)n1,aryl,reinvent
O=S1(=O)CCN(c2ncc(-c3nc(C4CC4)no3)cc2Cl)CC1,aryl,reinvent
FC(F)(F)c1cc(-c2nc(C3CC3)no2)cnc1N1CCN(c2ccc(Cl)cc2)CC1,aryl,reinvent
Clc1cc(-c2nc(C3CC3)no2)cnc1N1CCN(c2ccccn2)CC1,aryl,reinvent
Clc1cc(-c2nc(C3CC3)no2)cnc1N1CCN(Cc2ccccc2)CC1,aryl,reinvent
Clc1cc(-c2nc(Cc3ccccc3)no2)cnc1N1CCN(c2ccccc2)CC1,aryl,reinvent
FC(F)(F)c1ccccc1N1CCN(c2ncc(-c3nc(C4CC4)no3)cc2C(F)(F)F)CC1,aryl,reinvent
Clc1ccccc1N1CCN(c2ncc(-c3nc(Cc4ccccn4)no3)cc2Cl)CC1,aryl,reinvent
FC(F)(F)c1cc(-c2nc(C3CC3)no2)cnc1N1CCN(c2ccccc2Cl)CC1,aryl,reinvent
FC(F)(F)c1cc(-c2nc(C3CC3)no2)cnc1N1CCN(c2ccccn2)CC1,aryl,reinvent
CCc1nc(-c2ccc(N3CCN(c4ccccc4OC)CC3)nc2)no1,aryl,reinvent
CCc1nc(-c2ccc(N3CCN(c4ccccc4C(F)(F)F)CC3)nc2)no1,aryl,reinvent
CCOc1nc(-c2cnc(N3CCN(c4ccccc4OC)CC3)c(Cl)c2)no1,aryl,reinvent
CCOc1nc(-c2ccc(N3CCN(c4ccccc4OC)CC3)nc2)no1,aryl,reinvent
