Smiles,Dataset,Model
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc4ccccc4c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ncccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc4cccnc4c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc(F)c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc(Cl)c3)s2)n1,sirt2,claude
COc1cccc(Cc2cnc(NC(=O)C(C)Sc3nc(C)cc(C)n3)s2)c1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc(CN)c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc4ccccc4c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cccc(F)c34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cccnc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(F)cccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccncc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc4c(C)cccc4c3)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(Cl)cccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cc(F)ccc34)s2)n1,sirt2,claude
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(F)ccc(F)c34)s2)n1,sirt2,claude
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,claude
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)o2)cc1,sirt2,claude
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C)c(C)c3)s2)n1,sirt2,claude
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c(F)c1,sirt2,claude
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C)c(Cl)c3)s2)n1,sirt2,claude
Cc1ccc(Cc2csc(NC(=O)CSc3nc(C)cc(C)n3)n2)cc1,sirt2,claude
