Smiles,Dataset,Model
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ncccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccnc4ccccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cnccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccncc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cccnc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(F)cccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccnc4ccccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ncccc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4scnc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccnc4ncccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(F)cccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(Cl)cccc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(N)cccc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(O)cccc34)o2)n1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)COc3nc(C)cc(C)n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3nnc(C)s3)o2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2csc(NC(=O)CSc3nc(C)cn3C)n2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2nnc(NC(=O)CSc3nc(C)cs3)o2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CNc3nc(C)cc(C)n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2ccc(NC(=O)CSc3nc(C)nn3C)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3ncc(C)c(C)n3)o2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)c4ccccc4n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2csc(NC(=O)CSc3nc(C)cc(C)n3)n2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)o2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)COc3nc(C)cc(C)n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnn(NC(=O)CSc3nc(C)cc(C)n3)c2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CNc3nc(C)cc(C)n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3cc(C)cc(C)n3)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cn(C)c3=O)s2)cc1,sirt2,claude_scaffold
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)c4ccccc4n3)s2)cc1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4cccnc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NCc2ccc(C(=O)Nc3ncc(C#N)s3)cc2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(OCc2nnc(C(=O)Nc3cccc4ccccc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ccc3c(c2)OCCO3)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NCc2ccc(C(=O)Nc3ccnc4ccccc34)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(OCc2ccc(C(=O)Nc3ncc(F)s3)cc2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2cccc3ncccc23)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NCc2nnc(C(=O)Nc3cccc4cccnc34)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(OCc2ccc(C(=O)Nc3ncc(Cl)s3)nc2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ccc3c(c2)OCO3)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccn3)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccoc3)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(F)cc3)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCc2nnc(Nc3ncc(Cc4ccccc4)s3)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NCc2ccc(C(=O)Nc3ncc(Cc4ccccc4)s3)cc2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(COc3ccccc3)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccs3)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccncc3)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCc2csc(Nc3ncc(Cc4ccccc4)s3)n2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2ncc(CCc3ccccc3)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3ccncc3)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3ccoc3)o2)n1,sirt2,claude_scaffold
Cc1ccnc(NCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(OCC(=O)Nc2ncc(Cc3cccc4ncccc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4sccc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ncncc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ccncc34)o2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4nnccc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)o2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4occc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(NCC(=O)Nc2ncc(Cc3cccc4ncccc34)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4c3CCS4)s2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4c3OCO4)o2)n1,sirt2,claude_scaffold
Cc1ccnc(NCC(=O)Nc2ncc(Cc3cccc4c3CCO4)o2)n1,sirt2,claude_scaffold
Cc1ccnc(OCc2ccc(NC(=O)Cc3ncc4ccccn34)cc2)n1,sirt2,claude_scaffold
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4c3NCC4)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Cl)cc3)s2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(OCn2c(=O)[nH]c3ccc(Br)cc32)n1,sirt2,claude_scaffold
Cc1nc(SCC(=O)Nc2noc(Cc3cccc(F)c3)n2)ncc1F,sirt2,claude_scaffold
Cc1cc(C)nc(NCC(=O)Nc2nnc(Cc3ccc(I)cc3)o2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(SCC(=O)Nc2cnn(Cc3ccc(Br)cc3)c2)n1,sirt2,claude_scaffold
Cc1cc(C)nc(NCN2C(=O)CSc3ccc(Br)cc32)n1,sirt2,claude_scaffold
Cc1nc(OCn2c(=O)[nH]c3ccc(Cl)cc32)ncc1Cl,sirt2,claude_scaffold
