Smiles,Dataset,Model
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cc(I)ccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cccc(Cl)c34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cc(O)cc4ccccc34)s2)n1,sirt2,crem
Cc1cc(Cc2cnc(NC(=O)C(C)Sc3nc(C)cc(C)n3)s2)c2ccccc2c1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(F)cccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc(Br)c4ccccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc(NO)c4ccccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(O)cccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc(C#N)c4ccccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccc(CO)cc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CCBr)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CN)cc3)s2)n1,sirt2,crem
Cc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c(CO)c1,sirt2,crem
CCc1cc(C)ccc1Cc1cnc(NC(=O)CSc2nc(C)cc(C)n2)s1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C)c(N)c3)s2)n1,sirt2,crem
CCc1cc(C)ccc1Cc1cnc(NC(=O)CSc2nc(C)cc(C)n2)s1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C)c(F)c3)s2)n1,sirt2,crem
CCCc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,crem
COc1cc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)ccc1C,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CC#N)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3ccc(C)c4ccccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3ccc(C=O)c4ccccc34)s2)n1,sirt2,crem
CNc1ccc(NC(=O)c2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c2ccccc12,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4cc(O)ccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4cc(N)ccc34)s2)n1,sirt2,crem
Cc1cc(CCl)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4ccccc34)s2)n1,sirt2,crem
COc1ccc2cccc(NC(=O)c3cnc(NC(=O)CSc4nc(C)cc(C)n4)s3)c2c1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4c(F)cccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(C(=O)Nc3cccc4c(C)cccc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(C(=O)Nc3cccc4ccccc34)s2)n1,sirt2,crem
Cc1cc(CCN)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(CI)c3)s2)n1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(NN)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(CN)c3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(I)cc3)s2)n1,sirt2,crem
CSc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CF)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(CBr)c3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(CO)c3)s2)n1,sirt2,crem
CCc1cccc(NC(=S)NCc2cnc(NC(=O)CSc3nccc(C)n3)s2)c1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3ccc(O)cc3)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2nc(C)c(CNC(=S)Nc3ccccc3)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3ccc(C#N)cc3)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CN(C)C(=S)Nc3ccccc3)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3ccc(NO)cc3)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3ccccc3N)s2)n1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3cccc(NO)c3)s2)n1,sirt2,crem
O=C(CSc1nccc(CCl)n1)Nc1ncc(CNC(=S)Nc2ccccc2)s1,sirt2,crem
Cc1ccnc(SCC(=O)Nc2ncc(CNC(=S)Nc3cccc(O)c3)s2)n1,sirt2,crem
Cc1nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3)s2)nc(C)c1Br,sirt2,crem
Cc1cc(CO)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3)s2)n1,sirt2,crem
Cc1cc(CCO)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3Cl)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3C)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3N)s2)n1,sirt2,crem
Cc1cc(CN)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3F)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Br)cc3Br)s2)n1,sirt2,crem
COc1cc(Cc2nnc(NC(=O)CSc3nc(C)cc(C)n3)s2)ccc1Br,sirt2,crem
N#Cc1ccccc1NC(=O)Nc1nnc(C(F)(F)F)s1,sirt2,crem
CC(C)(C)c1ccc(NC(=O)Nc2nnc(C(F)(F)F)s2)cc1,sirt2,crem
O=C(NCCc1cccc(Cl)c1)Nc1nnc(C(F)(F)F)s1,sirt2,crem
COc1ccc(C=CC(=O)Nc2nnc(C(F)(F)F)s2)cc1OC,sirt2,crem
Cc1cc(C2CC2)nc(SCC(=O)Nc2nnc(C(F)(F)F)s2)n1,sirt2,crem
O=C(Cc1ccccc1Cl)NCC(=O)Nc1nnc(C(F)(F)F)s1,sirt2,crem
Cc1cccc(C=CC(=O)Nc2nnc(C(F)(F)F)s2)c1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ccc(C)c([N+](=O)[O-])c2)n1,sirt2,crem
O=C(Nc1nnc(C(F)(F)F)s1)c1cncn1-c1ccccc1,sirt2,crem
CC(C)(C)c1cccc(C(=O)Nc2nnc(C(F)(F)F)s2)c1,sirt2,crem
COc1cccc2c(Cc3cnc(NC(=O)CSc4cccc(O)c4)s3)cccc12,sirt2,crem
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2ccc(NO)c3ccccc23)s1,sirt2,crem
NCc1ccc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)cc1O,sirt2,crem
N#Cc1ccc(O)cc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,crem
Nc1ccc2c(Cc3cnc(NC(=O)CSc4cccc(O)c4)s3)cccc2c1,sirt2,crem
N#Cc1ccc(O)cc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,crem
NCc1cc(O)cc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)c1,sirt2,crem
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2cccc3ccc(CO)cc23)s1,sirt2,crem
COc1ccc(Cc2cnc(NC(=O)CSc3cccc(O)c3)s2)c2ccccc12,sirt2,crem
COc1ccc2ccccc2c1Cc1cnc(NC(=O)CSc2cccc(O)c2)s1,sirt2,crem
CCOc1ccc(CC(=O)Nc2ncc(Cc3cccc(C)c3)s2)cc1Br,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(C4CC4)c3)s2)n1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)c3ccc(-c4ccccn4)s3)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)CCCCC#Cc3ccccc3)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)Nc3c(C)cc(C)cc3Cl)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)CNC(=O)c3cccc(C)c3)s2)c1,sirt2,crem
Cc1cccc(C=CC(=O)Nc2ncc(Cc3cccc(C)c3)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)c3c[nH]c(=O)c(Cl)c3)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)NCCSCc3ccco3)s2)c1,sirt2,crem
Cc1cccc(Cc2cnc(NC(=O)Nc3ccc(F)nc3)s2)c1,sirt2,crem
O=C(Nc1ccc(F)cc1)C(=O)Nc1ncc(Cc2cccc(CO)c2)s1,sirt2,crem
N#Cc1cccc(Cc2cnc(NC(=O)C(=O)Nc3ccc(F)cc3)s2)c1,sirt2,crem
O=C(Nc1ccc(F)cc1)C(=O)Nc1ncc(Cc2ccc(CF)cc2)s1,sirt2,crem
COc1ccc(Cc2cnc(NC(=O)C(=O)Nc3ccc(F)cc3)s2)cc1,sirt2,crem
O=C(Nc1ccc(F)cc1)C(=O)Nc1ncc(Cc2cccc(Cl)c2)s1,sirt2,crem
O=C(Nc1ncc(Cc2ccccc2)s1)C(=O)Nc1ccc(F)cc1Br,sirt2,crem
O=C(Nc1ccc(F)cc1)C(=O)Nc1ncc(Cc2ccc(Cl)cc2)s1,sirt2,crem
O=C(Nc1ncc(Cc2ccccc2)s1)C(=O)Nc1ccc(F)cc1Br,sirt2,crem
O=C(Nc1ccc(F)c(Cl)c1)C(=O)Nc1ncc(Cc2ccccc2)s1,sirt2,crem
C#Cc1ccc(Cc2cnc(NC(=O)C(=O)Nc3ccc(F)cc3)s2)cc1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CF)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc(N)c3)s2)n1,sirt2,crem
Cc1cc(CO)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Br)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C=O)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(CBr)cc3)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2nc(C)c(Cc3ccccc3)s2)n1,sirt2,crem
Cc1cc(CO)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,sirt2,crem
CNc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,crem
C#Cc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4c(CN)cc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cc(C)c(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(CCN)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,crem
COc1ccc2ccc(Cl)cc2c1Cc1cnc(NC(=O)C(C)Sc2nc(C)cc(C)n2)s1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4cc(N)c(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(Cc2cnc(NC(=O)C(C)Sc3nc(C)cc(C)n3)s2)c2cc(Cl)ccc2c1,sirt2,crem
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cc(F)cc4ccc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(CO)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,crem
COc1ccc(Cc2cnc(NC(=O)C(C)Sc3nc(C)cc(C)n3)s2)c2cc(Cl)ccc12,sirt2,crem
COc1ccc2ccc(Cl)cc2c1Cc1cnc(NC(=O)C(C)Sc2nc(C)cc(C)n2)s1,sirt2,crem
Cc1cc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c2cc(Cl)ccc2c1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(N)c4ccc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cc(Cl)cc4ccc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4c(N)cc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4c(O)cc(Cl)cc34)s2)n1,sirt2,crem
Cc1cc(CCl)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,crem
COc1cc(Cl)cc2c(Cc3cnc(NC(=O)CSc4nc(C)cc(C)n4)s3)cccc12,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Cl)c4ccc(Cl)cc34)s2)n1,sirt2,crem
CNc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c2cc(Cl)ccc12,sirt2,crem
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4c(O)cc(Cl)cc34)s2)n1,sirt2,crem
CC(=O)N(O)CCCCCCCC(=O)Nc1ncc(Cc2c(C)ccc3ccccc23)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)C(C)Nc2ccccc2)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)CNC(=O)c2ccncc2)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)C2(c3ccccc3)CCCC2)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)c2sc(-c3ccncc3)nc2C)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)c2cccc(C(=O)OC(C)C)n2)s1,sirt2,crem
Cc1ccc2ccccc2c1Cc1cnc(NC(=O)c2ccc([N+](=O)[O-])cc2C(=O)O)s1,sirt2,crem
