Smiles,Dataset,Model
O=C(CSc1ncccn1)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Cl)cc3)s2)n1,sirt2,reinvent
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,reinvent
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)N(C)c2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,reinvent
CC(Sc1ncccn1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4cc(Cl)ccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccc(Cl)cc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(C)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(-c3ccccc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3c(C)ccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(C)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Br)cc34)s2)n1,sirt2,reinvent
CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(S[C@H](C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3ccc(OC)cc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3c(C)ccc4ccccc34)s2)n1,sirt2,reinvent
CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,reinvent
CCC(Sc1ncccn1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(-c4ccccc4)cc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc4ccccc4c3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Cl)cc3Cl)s2)n1,sirt2,reinvent
CCOc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3ccccc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(-c3cccc4ccccc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(-c3ccc(Cl)cc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nnc(Cc3cccc4ccc(Br)cc34)s2)n1,sirt2,reinvent
Cc1nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)nc(C)c1C,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccccc3C)s2)n1,sirt2,reinvent
O=C(CSc1ncccn1)Nc1nc(-c2ccccc2)cs1,sirt2,reinvent
CCc1cnc(NC(=O)CSc2ncccn2)s1,sirt2,reinvent
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2ccccc2)s1,sirt2,reinvent
O=C(CSc1ncccn1)Nc1nc(-c2ccccc2Cl)cs1,sirt2,reinvent
O=C(CSc1ncccn1)Nc1nc(-c2ccc(Cl)cc2)cs1,sirt2,reinvent
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2ccc(Cl)cc2)s1,sirt2,reinvent
Cc1cc(C)nc(S[C@@H](C)C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1,sirt2,reinvent
CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3ccccc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)N(C)c2ncc(Cc3cccc4ccc(Cl)cc34)s2)n1,sirt2,reinvent
CCOc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,reinvent
Nc1ccccc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1ccc(Cc2cnc(NC(=O)CSc3ncccn3)s2)cc1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(Br)cc3)s2)n1,sirt2,reinvent
CCOc1ccc(Cc2nnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,reinvent
CC(=O)Nc1nnc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1ccc(NC(=O)CSc2nnc(-c3ccccc3)c(-c3ccccc3)n2)cc1,sirt2,reinvent
Cc1ccc(NC(=O)CSc2nnc(-c3ccccc3)c(-c3ccccc3)n2)c([N+](=O)[O-])c1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccc(Cl)cc1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccc([N+](=O)[O-])cc1,sirt2,reinvent
Cc1ccc(NC(=O)CSc2nnc(-c3ccccc3)c(-c3ccccc3)n2)cc1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccccc1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccccn1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccc(F)cc1,sirt2,reinvent
O=C(CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1)Nc1ccccc1[N+](=O)[O-],sirt2,reinvent
COc1ccc(NC(=O)CSc2nnc(-c3ccccc3)c(-c3ccccc3)n2)c([N+](=O)[O-])c1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nccs2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nc3ccc(N4CCOCC4)cc3s2)n1,sirt2,reinvent
Cc1cc(C)nc(SC(C)C(=O)Nc2nc3ccccc3s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2nc3ccccc3o2)n1,sirt2,reinvent
COc1ccc2nc(NC(=O)CSc3nc(C)cc(C)n3)oc2c1,sirt2,reinvent
O=C(CSc1cccc(O)c1)Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1,sirt2,reinvent
O=C(CSc1ncccn1)Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1,sirt2,reinvent
O=C(Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1)C1CCCN1,sirt2,reinvent
CC(=O)Nc1ncc(Cc2cccc3ccc(Cl)cc23)s1,sirt2,reinvent
COc1cccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)c1,sirt2,reinvent
Cc1ccnc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)c1,sirt2,reinvent
CCc1cc(CC)nc(SCC(=O)Nc2ncc(Cc3ccccc3C)s2)n1,sirt2,reinvent
CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2cccnc2)no1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(F)cc1)c1nc(-c2ccccc2)no1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2cccc3ccccc23)no1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(F)cc1)c1nc(-c2cccc3ccccc23)no1,sirt2,reinvent
O=C(NNC(=S)Nc1cccc(C(F)(F)F)c1)c1nc(-c2cccc3ccccc23)no1,sirt2,reinvent
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3ccccc3)n2)cc1,sirt2,reinvent
Cc1ccc(NC(=S)NNC(=O)c2nc(-c3ccc(C)cc3)no2)cc1,sirt2,reinvent
CC(C)(C)OC(=O)Nc1cccc(-c2noc(C(=O)NNC(=S)NC3CCCCC3)n2)c1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2ccncc2)no1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(C(F)(F)F)cc1)c1nc(-c2ccc(Cl)cc2)no1,sirt2,reinvent
CC(=O)Nc1ncc(Cc2cccc(OCc3cn(Cc4ccccc4)nn3)c2)s1,sirt2,reinvent
CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc(OCc3ccccc3)c2)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(O)cc3)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4cc(Br)ccc34)s2)n1,sirt2,reinvent
CCC(Sc1nc(C)cc(C)n1)C(=O)Nc1ncc(Cc2cccc(OCCOC)c2)s1,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCc2ccccc2)nc2c1CCCC2,sirt2,reinvent
CCOC(=O)c1cnc(NCc2ccccc2)nc1NCCCN,sirt2,reinvent
O=C(O)CCNC(=O)NCCCNc1nc(NCc2ccccc2)nc2c1CCCC2,sirt2,reinvent
O=C(O)CCNC(=O)NCCCNc1nc(NCc2ccccc2)ncc1Br,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCc2ccccc2)nc2c1CCCCC2,sirt2,reinvent
O=C(O)CCCCCNc1nc(NCc2ccccc2)ncc1C(=O)O,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCc2ccccc2)ncc1Br,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCc2ccccc2)nc2ccccc12,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCCc2ccccc2)nc2c1CCCC2,sirt2,reinvent
O=C(O)CCNC(=S)NCCCNc1nc(NCCc2ccccc2)ncc1Br,sirt2,reinvent
Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
O=C(Nc1ncc(Cc2cccc3ccccc23)s1)c1ccccc1,sirt2,reinvent
O=C(CSc1ccccc1)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1ccccc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1ccccc1SCC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1ccc(Cc2cnc(NC(=O)CSc3nc(C)cc(C)n3)s2)cc1,sirt2,reinvent
CC(=O)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
Cc1ccccc1Cc1cnc(NC(=O)CSc2ncccn2)s1,sirt2,reinvent
Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccc(F)cc34)s2)n1,sirt2,reinvent
Cc1cc(C)nc(SC(C)C(=O)Nc2ncc(Cc3ccc(-c4ccccc4)cc3)s2)n1,sirt2,reinvent
O=C(Cn1ccnc1)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
O=C(Cn1cnc2ccccc21)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1ccccc1Cc1cnc(NC(=O)C[n+]2ccccc2)s1,sirt2,reinvent
Cc1ccccc1Cc1cnc(NC(=O)C[n+]2ccccc2)s1,sirt2,reinvent
O=C(Cn1cncn1)Nc1ncc(Cc2cccc3ccccc23)s1,sirt2,reinvent
COc1cccc(Cc2cnc(NC(=O)C[n+]3ccccc3)s2)c1,sirt2,reinvent
COc1ccc(Cc2cnc(NC(=O)C[n+]3ccccc3)s2)cc1,sirt2,reinvent
N#Cc1cccc(C(=O)Nc2ncc(Cc3cccc4ccccc34)s2)c1,sirt2,reinvent
O=C(NNC(=S)Nc1cccc(C(F)(F)F)c1)c1nc(-c2ccccc2)no1,sirt2,reinvent
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3cccc(C(F)(F)F)c3)n2)cc1,sirt2,reinvent
CC(C)(C)c1ccc(-c2noc(C(=O)NNC(=S)Nc3ccc(F)cc3)n2)cc1,sirt2,reinvent
O=C(NNC(=S)Nc1ccc(F)cc1)c1nc(-c2cccnc2)no1,sirt2,reinvent
