Smiles,Dataset,Model,canonical smiles,molwt,qed,Tanimoto Score
O=C(C=C1C=CC=C2CC(CC3CCCCC3)=CC=CC2=C1)C1CCCCC1,a2a,molmim,O=C(C=C1C=CC=C2CC(CC3CCCCC3)=CC=CC2=C1)C1CCCCC1,374.260965708,0.470354696725259,0.3055555555555556
CC1(C)CCC2(CC=C3CC=C4CCCCCC=C4CC=C3C2)CC1,a2a,molmim,CC1(C)CCC2(CC=C3CC=C4CCCCCC=C4CC=C3C2)CC1,336.281701152,0.42255103029208235,0.12698412698412698
C=CCC1(C(=O)NCC2=CCN(C(=O)C3C=CC=CC=C3)CC2)CCCC1,a2a,molmim,C=CCC1(C(=O)NCC2=CCN(C(=O)C3C=CC=CC=C3)CC2)CCCC1,366.2307282,0.7289281930444369,0.14432989690721648
C=CCC1=CCC=C2C(C1)CC1C=C(CC=C)CC2C1,a2a,molmim,C=CCC1=CCC=C2C(C1)CC1C=C(CC=C)CC2C1,266.203450832,0.5676033644980305,0.09333333333333334
O=C(NCCCCC(F)(F)F)C(c1ccccc1)c1cccc2c1CCCC2,a2a,molmim,O=C(NCCCCC(F)(F)F)C(c1ccccc1)c1cccc2c1CCCC2,389.196649112,0.6185736486276812,0.2318840579710145
C=CCC1(CC2C=CC=CC=C2)CCC2(C=CC=C2)CC12CCCC2,a2a,molmim,C=CCC1(CC2C=CC=CC=C2)CCC2(C=CC=C2)CC12CCCC2,332.250401024,0.48180835705716873,0.08641975308641975
CCCCCCCCCCCCCOCCOCCOCCOCCN1C(=O)C=CC1=O,a2a,molmim,CCCCCCCCCCCCCOCCOCCOCCOCCN1C(=O)C=CC1=O,455.32468815999994,0.15966859428807237,0.27692307692307694
C=CCCCCCCCCCCOCCOC(=O)C[C@@H]1CCc2cc(O)c(O)cc2[C@@H]1O,a2a,molmim,C=CCCCCCCCCCCOCCOC(=O)C[C@@H]1CCc2cc(O)c(O)cc2[C@@H]1O,448.2824889999999,0.13668957438327434,0.2682926829268293
COCCOCCOCCCCCCCCCCCCCOc1cnc2c(c1)CC(=O)N2,a2a,molmim,COCCOCCOCCCCCCCCCCCCCOc1cnc2c(c1)CC(=O)N2,450.30937244399996,0.2677279648627299,0.28378378378378377
CCCCCCCCCCCCCCCCOCCOCCOC(=O)c1cccc(=O)[nH]1,a2a,molmim,CCCCCCCCCCCCCCCCOCCOCCOC(=O)c1cccc(=O)[nH]1,451.32977353999996,0.1715596318115148,0.24324324324324326
