Model,Dataset,Scaffold novelty rate,Skeleton novelty rate
molmim,a2a,0.9873188405797102,0.9766454352441614
claude_scaffold,a2a,0.9488117001828154,0.8108108108108109
reinvent,a2a,0.8242424242424242,0.7657657657657657
claude,a2a,0.7897435897435897,0.6063829787234043
crem,a2a,0.8169014084507042,0.7777777777777778
claude_scaffold,aryl,0.9392684610075914,0.8788461538461538
molmim,aryl,0.9902140672782874,0.9757477768795473
crem,aryl,0.8483606557377049,0.8092105263157895
claude,aryl,0.7951388888888888,0.5988372093023255
reinvent,aryl,0.8939179632248939,0.7590361445783133
claude,sirt2,0.8823529411764706,0.673469387755102
claude_scaffold,sirt2,0.9733606557377049,0.8699186991869918
crem,sirt2,0.9066666666666666,0.8666666666666667
reinvent,sirt2,0.7903225806451613,0.75
molmim,sirt2,0.9830827067669173,0.9769230769230769
