Smiles,Dataset,Model,canonical smiles,ring_systems,min_ring,min_freq,rare_ring
O=C(Nc1cccc(F)c1)c1cc(Cl)c(N2CCCNCC2)nn1,aryl,molmim,O=C(Nc1cccc(F)c1)c1cc(Cl)c(N2CCCNCC2)nn1,"[('C1CNCCNC1', 5114), ('c1ccnnc1', 7303), ('c1ccccc1', 2260082)]",C1CNCCNC1,5114,False
O=C(Nc1cccc(Cl)c1)c1ccc(Nc2cc(N3CCNCC3)ncn2)cc1F,aryl,molmim,O=C(Nc1cccc(Cl)c1)c1ccc(Nc2cc(N3CCNCC3)ncn2)cc1F,"[('c1cncnc1', 81465), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
Cn1nc(N2CCOCC2)cc1NC(=O)c1ccc(Nc2cccc(F)c2)nc1,aryl,molmim,Cn1nc(N2CCOCC2)cc1NC(=O)c1ccc(Nc2cccc(F)c2)nc1,"[('C1COCCN1', 70960), ('c1cn[nH]c1', 85440), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1COCCN1,70960,False
CCOc1cc(C(=O)Nc2cccc(F)c2)nnc1Nc1cccc(Cl)c1,aryl,molmim,CCOc1cc(C(=O)Nc2cccc(F)c2)nnc1Nc1cccc(Cl)c1,"[('c1ccnnc1', 7303), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccnnc1,7303,False
O=C(Nc1cccc(F)c1)c1ccc(Nc2cc3c(nn2)CCNC3=O)cc1Cl,aryl,molmim,O=C(Nc1cccc(F)c1)c1ccc(Nc2cc3c(nn2)CCNC3=O)cc1Cl,"[('O=C1NCCc2nnccc21', 0), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",O=C1NCCc2nnccc21,0,True
Cc1cc(F)ccc1C(=O)Nc1ccc(N2CCNCC2)nn1,aryl,molmim,Cc1cc(F)ccc1C(=O)Nc1ccc(N2CCNCC2)nn1,"[('c1ccnnc1', 7303), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",c1ccnnc1,7303,False
CS(=O)(=O)NCCNc1cc(Nc2ccc(C(=O)Nc3cccc(F)c3)cc2)ncn1,aryl,molmim,CS(=O)(=O)NCCNc1cc(Nc2ccc(C(=O)Nc3cccc(F)c3)cc2)ncn1,"[('c1cncnc1', 81465), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
O=C(Nc1cccc(Cl)c1)c1ccc(F)c(Nc2cccc(C(=O)Nc3ccccn3)n2)c1,aryl,molmim,O=C(Nc1cccc(Cl)c1)c1ccc(F)c(Nc2cccc(C(=O)Nc3ccccn3)n2)c1,"[('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
Fc1ccc(Nc2ccc(Nc3nccc(CN4CCCC4)n3)c(Cl)c2)cc1,aryl,molmim,Fc1ccc(Nc2ccc(Nc3nccc(CN4CCCC4)n3)c(Cl)c2)cc1,"[('c1cncnc1', 81465), ('C1CCNC1', 112428), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
CCNC(=O)Nc1cccc(Nc2nnc(-c3cccc(Cl)c3)o2)c1,aryl,molmim,CCNC(=O)Nc1cccc(Nc2nnc(-c3cccc(Cl)c3)o2)c1,"[('c1nnco1', 14167), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1nnco1,14167,False
Fc1ccc(N2CCN(c3ncccc3F)CC2)nc1NCc1cccc(Cl)c1,aryl,molmim,Fc1ccc(N2CCN(c3ncccc3F)CC2)nc1NCc1cccc(Cl)c1,"[('C1CNCCN1', 137326), ('c1ccncc1', 231698), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
CNC(=O)c1cccc(NC(=O)c2cc(NC(=O)N3CCn4ccnc4C3)ccc2F)c1,aryl,molmim,CNC(=O)c1cccc(NC(=O)c2cc(NC(=O)N3CCn4ccnc4C3)ccc2F)c1,"[('c1cn2c(n1)CNCC2', 794), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cn2c(n1)CNCC2,794,False
CCN1CCN(c2nnc(C(=O)Nc3cccc(C)c3)n2Cc2cccc(F)c2)CC1,aryl,molmim,CCN1CCN(c2nnc(C(=O)Nc3cccc(C)c3)n2Cc2cccc(F)c2)CC1,"[('c1nnc[nH]1', 34477), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1nnc[nH]1,34477,False
O=C(Nc1cccnc1)[C@H](c1ccccc1F)N1CCc2nccc(Cl)c2C1,aryl,molmim,O=C(Nc1cccnc1)[C@H](c1ccccc1F)N1CCc2nccc(Cl)c2C1,"[('c1cnc2c(c1)CNCC2', 431), ('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1cnc2c(c1)CNCC2,431,False
Fc1cccc2c1N(c1ccccc1)CCN(c1ncc(Cl)cn1)C2,aryl,molmim,Fc1cccc2c1N(c1ccccc1)CCN(c1ncc(Cl)cn1)C2,"[('c1ccc2c(c1)CNCCN2', 356), ('c1cncnc1', 81465), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNCCN2,356,False
O=C(Nc1ccccc1F)c1nc(N2CCc3cccnc3C2)ncc1Cl,aryl,molmim,O=C(Nc1ccccc1F)c1nc(N2CCc3cccnc3C2)ncc1Cl,"[('c1cnc2c(c1)CCNC2', 41), ('c1cncnc1', 81465), ('c1ccccc1', 2260082)]",c1cnc2c(c1)CCNC2,41,True
O=C(Nc1ccc(F)cc1)c1cc(NCc2cn3c(n2)CCC3)ccc1F,aryl,molmim,O=C(Nc1ccc(F)cc1)c1cc(NCc2cn3c(n2)CCC3)ccc1F,"[('c1cn2c(n1)CCC2', 137), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1cn2c(n1)CCC2,137,False
O=C(CCCN1CCCCC1)Nc1nc2c(cc1C(=O)Nc1ccc(Cl)cc1F)CCCC2,aryl,molmim,O=C(CCCN1CCCCC1)Nc1nc2c(cc1C(=O)Nc1ccc(Cl)cc1F)CCCC2,"[('c1cnc2c(c1)CCCC2', 1106), ('C1CCNCC1', 174309), ('c1ccccc1', 2260082)]",c1cnc2c(c1)CCCC2,1106,False
CN1CCc2ncnc(Nc3cc(C(=O)NCc4ccccc4)ccc3Cl)c2C1,aryl,molmim,CN1CCc2ncnc(Nc3cc(C(=O)NCc4ccccc4)ccc3Cl)c2C1,"[('c1ncc2c(n1)CCNC2', 1401), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CCNC2,1401,False
CCCN1CCN(c2ccc(F)cc2C(=O)NCCN(C)C)CC1,aryl,molmim,CCCN1CCN(c2ccc(F)cc2C(=O)NCCN(C)C)CC1,"[('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
CN1Cc2ccccc2N2CCN(c3ccc(C(=O)NCC4CC4)cc3)C[C@@H]2C1,aryl,molmim,CN1Cc2ccccc2N2CCN(c3ccc(C(=O)NCC4CC4)cc3)C[C@@H]2C1,"[('c1ccc2c(c1)CNC[C@H]1CNCCN21', 0), ('C1CC1', 70914), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNC[C@H]1CNCCN21,0,True
Cc1cccc(C(=O)NC2CCCC2)c1S(=O)(=O)N1CCN(C)c2ccccc21,aryl,molmim,Cc1cccc(C(=O)NC2CCCC2)c1S(=O)(=O)N1CCN(C)c2ccccc21,"[('c1ccc2c(c1)NCCN2', 463), ('C1CCCC1', 30433), ('c1ccccc1', 2260082)]",c1ccc2c(c1)NCCN2,463,False
CCNC(=O)c1cc(N2CCN(C)c3ccccc32)nc(C)n1,aryl,molmim,CCNC(=O)c1cc(N2CCN(C)c3ccccc32)nc(C)n1,"[('c1ccc2c(c1)NCCN2', 463), ('c1cncnc1', 81465)]",c1ccc2c(c1)NCCN2,463,False
CC(=O)CCN(C)c1ncnc2c1CCN(C)[C@@H]2c1ccccc1,aryl,molmim,CC(=O)CCN(C)c1ncnc2c1CCN(C)[C@@H]2c1ccccc1,"[('c1ncc2c(n1)CNCC2', 725), ('c1ccccc1', 2260082)]",c1ncc2c(n1)CNCC2,725,False
CN(C)Cc1ccccc1Nc1cc(C(=O)N2CCCC2)ncn1,aryl,molmim,CN(C)Cc1ccccc1Nc1cc(C(=O)N2CCCC2)ncn1,"[('c1cncnc1', 81465), ('C1CCNC1', 112428), ('c1ccccc1', 2260082)]",c1cncnc1,81465,False
CCCC(=O)N(CCN1CCN(CC)CC1)Cc1ccccc1,aryl,molmim,CCCC(=O)N(CCN1CCN(CC)CC1)Cc1ccccc1,"[('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",C1CNCCN1,137326,False
CCCC(=O)N1CCc2ncnc(N3CCN(C)CC3)c2C1,aryl,molmim,CCCC(=O)N1CCc2ncnc(N3CCN(C)CC3)c2C1,"[('c1ncc2c(n1)CCNC2', 1401), ('C1CNCCN1', 137326)]",c1ncc2c(n1)CCNC2,1401,False
CCN1C(=O)c2c(ncnc2N2CCCc3ccc(F)cc3C2)Cc2ccccc21,aryl,molmim,CCN1C(=O)c2c(ncnc2N2CCCc3ccc(F)cc3C2)Cc2ccccc21,"[('O=C1Nc2ccccc2Cc2ncncc21', 1), ('c1ccc2c(c1)CCCNC2', 259)]",O=C1Nc2ccccc2Cc2ncncc21,1,True
CN(C)CCOC(=O)c1cc(NCCOC(C)(C)C)ncn1,aryl,molmim,CN(C)CCOC(=O)c1cc(NCCOC(C)(C)C)ncn1,"[('c1cncnc1', 81465)]",c1cncnc1,81465,False
CN1CCN(Cc2noc(CCN3CCCC3)n2)CC1=O,aryl,molmim,CN1CCN(Cc2noc(CCN3CCCC3)n2)CC1=O,"[('O=C1CNCCN1', 4166), ('c1ncon1', 17228), ('C1CCNC1', 112428)]",O=C1CNCCN1,4166,False
CN1CCN(c2nc(Cc3cccc(Cl)c3)nc3onc(C4CCC4)c23)CC1,aryl,molmim,CN1CCN(c2nc(Cc3cccc(Cl)c3)nc3onc(C4CCC4)c23)CC1,"[('c1ncc2cnoc2n1', 261), ('C1CCC1', 12595), ('C1CNCCN1', 137326), ('c1ccccc1', 2260082)]",c1ncc2cnoc2n1,261,False
CN1CCN(c2nc(Cl)nc3c2SCCC3)Cc2ccccc21,aryl,molmim,CN1CCN(c2nc(Cl)nc3c2SCCC3)Cc2ccccc21,"[('c1ncc2c(n1)CCCS2', 20), ('c1ccc2c(c1)CNCCN2', 356)]",c1ncc2c(n1)CCCS2,20,True
Cc1noc2nc(Cc3ccc(Cl)cc3)nc(N3CCCN(C)Cc4ccccc43)c12,aryl,molmim,Cc1noc2nc(Cc3ccc(Cl)cc3)nc(N3CCCN(C)Cc4ccccc43)c12,"[('c1ccc2c(c1)CNCCCN2', 0), ('c1ncc2cnoc2n1', 261), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNCCCN2,0,True
CCc1noc2nc(CN3CCN(C)c4cc(Cl)ccc4C3)cc(C)c12,aryl,molmim,CCc1noc2nc(CN3CCN(C)c4cc(Cl)ccc4C3)cc(C)c12,"[('c1cnc2oncc2c1', 130), ('c1ccc2c(c1)CNCCN2', 356)]",c1cnc2oncc2c1,130,False
Cn1cnc2c(Nc3ccc(Cl)cc3CN3CCOc4ccccc4C3)nc(C3CCOCC3)nc21,aryl,molmim,Cn1cnc2c(Nc3ccc(Cl)cc3CN3CCOc4ccccc4C3)nc(C3CCOCC3)nc21,"[('c1ccc2c(c1)CNCCO2', 724), ('c1ncc2nc[nH]c2n1', 24411), ('C1CCOCC1', 64272), ('c1ccccc1', 2260082)]",c1ccc2c(c1)CNCCO2,724,False
c1ccc2c(c1)CCCN(c1ncnc3oc4c(c13)CCCC4)CC2,aryl,molmim,c1ccc2c(c1)CCCN(c1ncnc3oc4c(c13)CCCC4)CC2,"[('c1ncc2c3c(oc2n1)CCCC3', 0), ('c1ccc2c(c1)CCCNCC2', 4)]",c1ncc2c3c(oc2n1)CCCC3,0,True
CN1CCN(C(=O)Nc2nc(Cl)nc3oc4c(c23)CCCC4)CCc2ccccc21,aryl,molmim,CN1CCN(C(=O)Nc2nc(Cl)nc3oc4c(c23)CCCC4)CCc2ccccc21,"[('c1ncc2c3c(oc2n1)CCCC3', 0), ('c1ccc2c(c1)CCNCCN2', 2)]",c1ncc2c3c(oc2n1)CCCC3,0,True
CN1CCCN(Cc2nc(-c3cccc4ccc(Br)nc34)no2)CC1,aryl,molmim,CN1CCCN(Cc2nc(-c3cccc4ccc(Br)nc34)no2)CC1,"[('C1CNCCNC1', 5114), ('c1ncon1', 17228), ('c1ccc2ncccc2c1', 57286)]",C1CNCCNC1,5114,False
CN1C[C@@H](c2nc(N3CCCC3)c3c4c(oc3n2)CCC4)C2(CCNCC2)C1,aryl,molmim,CN1C[C@@H](c2nc(N3CCCC3)c3c4c(oc3n2)CCC4)C2(CCNCC2)C1,"[('c1ncc2c3c(oc2n1)CCC3', 0), ('C1CC2(CCN1)CCNC2', 660), ('C1CCNC1', 112428)]",c1ncc2c3c(oc2n1)CCC3,0,True
Cc1oc2c(c1NC(=O)C(=O)N1CCCN(Cc3ccccc3)CC1)CCCC2,aryl,molmim,Cc1oc2c(c1NC(=O)C(=O)N1CCCN(Cc3ccccc3)CC1)CCCC2,"[('c1cc2c(o1)CCCC2', 82), ('C1CNCCNC1', 5114), ('c1ccccc1', 2260082)]",c1cc2c(o1)CCCC2,82,True
CCC(=O)N1CCN(c2cnc3cc(C)c(Br)cc3n2)Cc2ccccc21,aryl,molmim,CCC(=O)N1CCN(c2cnc3cc(C)c(Br)cc3n2)Cc2ccccc21,"[('c1ccc2c(c1)CNCCN2', 356), ('c1ccc2nccnc2c1', 8177)]",c1ccc2c(c1)CNCCN2,356,False
CN1CCN(c2nc(Cl)nc3c2ncn3CC2CCC2)Cc2ccc3ccccc3c21,aryl,molmim,CN1CCN(c2nc(Cl)nc3c2ncn3CC2CCC2)Cc2ccc3ccccc3c21,"[('c1ccc2c3c(ccc2c1)CNCCN3', 0), ('C1CCC1', 12595), ('c1ncc2nc[nH]c2n1', 24411)]",c1ccc2c3c(ccc2c1)CNCCN3,0,True
CC(C)(C)OC(=O)N1CCOC2(CCN(c3ncnc4ccc(Cl)cc34)CC2)C1,aryl,molmim,CC(C)(C)OC(=O)N1CCOC2(CCN(c3ncnc4ccc(Cl)cc34)CC2)C1,"[('C1CC2(CCN1)CNCCO2', 174), ('c1ccc2ncncc2c1', 21866)]",C1CC2(CCN1)CNCCO2,174,False
CCc1nc(N2CCN(C)Cc3ccccc32)c2c(C)c(C)oc2n1,aryl,molmim,CCc1nc(N2CCN(C)Cc3ccccc32)c2c(C)c(C)oc2n1,"[('c1ccc2c(c1)CNCCN2', 356), ('c1ncc2ccoc2n1', 642)]",c1ccc2c(c1)CNCCN2,356,False
Cc1cc(N2CCN(C)c3c(Cl)cccc3C2)cn2c(C(=O)N3CCCC3)nnc12,aryl,molmim,Cc1cc(N2CCN(C)c3c(Cl)cccc3C2)cn2c(C(=O)N3CCCC3)nnc12,"[('c1ccc2c(c1)CNCCN2', 356), ('c1ccn2cnnc2c1', 2001), ('C1CCNC1', 112428)]",c1ccc2c(c1)CNCCN2,356,False
CN1CCN(CCc2noc(Cc3noc4cc(Cl)ccc34)n2)C1=O,aryl,molmim,CN1CCN(CCc2noc(Cc3noc4cc(Cl)ccc34)n2)C1=O,"[('c1ccc2oncc2c1', 2251), ('O=C1NCCN1', 2780), ('c1ncon1', 17228)]",c1ccc2oncc2c1,2251,False
CN1CCN(S(=O)(=O)c2cc(Cl)cc3c2CCCC3)Cc2ccccc21,aryl,molmim,CN1CCN(S(=O)(=O)c2cc(Cl)cc3c2CCCC3)Cc2ccccc21,"[('c1ccc2c(c1)CNCCN2', 356), ('c1ccc2c(c1)CCCC2', 8799)]",c1ccc2c(c1)CNCCN2,356,False
CCCn1ncc2c(Cl)cc(C(=O)N(C)CCN3CCc4ccccc4C3)nc21,aryl,molmim,CCCn1ncc2c(Cl)cc(C(=O)N(C)CCN3CCc4ccccc4C3)nc21,"[('c1cnc2[nH]ncc2c1', 3952), ('c1ccc2c(c1)CCNC2', 17250)]",c1cnc2[nH]ncc2c1,3952,False
O=C(Nc1cccc(NCc2cccc(Cl)c2)c1)c1ccccc1,aryl,molmim,O=C(Nc1cccc(NCc2cccc(Cl)c2)c1)c1ccccc1,"[('c1ccccc1', 2260082), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccccc1,2260082,False
COc1cccc(NC(=O)c2cccc(Cl)c2-c2ccccc2)c1,aryl,molmim,COc1cccc(NC(=O)c2cccc(Cl)c2-c2ccccc2)c1,"[('c1ccccc1', 2260082), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccccc1,2260082,False
Nc1cc(NC(=O)c2ncccc2Cl)ccc1Cl,aryl,molmim,Nc1cc(NC(=O)c2ncccc2Cl)ccc1Cl,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=C(Nc1ccc(Cl)c(Cl)c1)[C@@H](c1ccccc1)c1ccccn1,aryl,molmim,O=C(Nc1ccc(Cl)c(Cl)c1)[C@@H](c1ccccc1)c1ccccn1,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
O=C(c1ccc(Cl)c(Cl)c1)N(c1ccccc1)c1ccccn1,aryl,molmim,O=C(c1ccc(Cl)c(Cl)c1)N(c1ccccc1)c1ccccn1,"[('c1ccncc1', 231698), ('c1ccccc1', 2260082), ('c1ccccc1', 2260082)]",c1ccncc1,231698,False
