UMAP1,UMAP2,Source
6.8151956,2.348069,claude_scaffold
6.946348,2.7609859,claude_scaffold
5.6773033,4.405021,claude_scaffold
7.1711836,2.4428246,claude_scaffold
8.813611,3.9687426,claude_scaffold
5.7399626,4.267888,claude_scaffold
6.873704,2.3173518,claude_scaffold
8.8232355,3.7494013,claude_scaffold
7.1296954,2.4655268,claude_scaffold
6.6541147,2.4113412,claude_scaffold
6.584029,2.7922513,claude_scaffold
5.8563037,3.8660629,claude_scaffold
6.7660594,2.2830844,claude_scaffold
5.724454,3.9880404,claude_scaffold
11.124996,5.2061715,claude_scaffold
10.88235,6.2807355,claude_scaffold
9.061041,4.8269887,claude_scaffold
9.600831,4.888375,claude_scaffold
7.359629,7.7201986,claude_scaffold
9.484286,5.5685453,claude_scaffold
8.905309,5.5872226,claude_scaffold
10.006183,5.2016253,claude_scaffold
9.558167,5.112115,claude_scaffold
7.2606363,7.894876,claude_scaffold
9.495369,9.13003,claude_scaffold
9.428873,9.093463,claude_scaffold
9.47365,9.136093,claude_scaffold
10.612244,9.491967,claude_scaffold
10.028749,9.024369,claude_scaffold
9.395562,9.146761,claude_scaffold
9.409238,9.11875,claude_scaffold
9.460261,9.011558,claude_scaffold
9.408773,9.102238,claude_scaffold
9.582776,9.2087,claude_scaffold
9.635533,9.050205,claude_scaffold
10.156993,9.504557,claude_scaffold
9.335484,9.114307,claude_scaffold
9.652768,9.023178,claude_scaffold
9.6266775,9.033772,claude_scaffold
9.446133,9.138512,claude_scaffold
9.6230545,9.207136,claude_scaffold
8.940128,8.252782,claude_scaffold
8.596933,7.5605755,claude_scaffold
8.43996,7.69464,claude_scaffold
8.299983,7.7091026,claude_scaffold
8.29424,7.6696687,claude_scaffold
8.334602,7.7906694,claude_scaffold
8.378262,7.713446,claude_scaffold
8.342668,7.7188525,claude_scaffold
8.294856,7.70357,claude_scaffold
8.326114,7.782596,claude_scaffold
8.336332,7.793767,claude_scaffold
8.311513,7.695092,claude_scaffold
8.268722,7.8116665,claude_scaffold
8.4404545,7.3743787,claude_scaffold
8.37994,7.2896166,claude_scaffold
7.9250097,7.36326,claude_scaffold
8.581602,7.440282,claude_scaffold
8.079461,9.551326,claude_scaffold
8.105623,9.544387,claude_scaffold
8.361419,9.387415,claude_scaffold
8.06179,9.543449,claude_scaffold
8.051453,9.583095,claude_scaffold
8.067526,9.5758705,claude_scaffold
8.068636,9.575108,claude_scaffold
8.088134,9.556532,claude_scaffold
5.1852436,5.1802955,claude_scaffold
5.561462,5.429046,claude_scaffold
5.4379067,5.3630786,claude_scaffold
5.719113,5.955399,claude_scaffold
5.4941964,5.531787,claude_scaffold
10.612935,3.8728156,claude_scaffold
5.4270787,5.532169,claude_scaffold
5.4856462,5.3385167,claude_scaffold
5.1568527,5.535174,claude_scaffold
6.450947,5.147671,claude_scaffold
10.860429,7.7646656,claude_scaffold
10.922041,7.787302,claude_scaffold
10.876091,7.693953,claude_scaffold
7.285773,7.9650793,claude_scaffold
10.829068,7.799447,claude_scaffold
11.109988,7.694505,claude_scaffold
10.919692,7.636206,claude_scaffold
10.923812,7.789566,claude_scaffold
10.882088,7.7417617,claude_scaffold
10.920289,7.6843615,claude_scaffold
11.732786,7.9351435,claude_scaffold
11.16157,7.879023,claude_scaffold
11.337086,8.192376,claude_scaffold
11.606295,7.851311,claude_scaffold
11.198357,7.709215,claude_scaffold
11.02135,7.932672,claude_scaffold
11.762811,7.8827844,claude_scaffold
11.207437,7.6976137,claude_scaffold
11.764499,8.196868,claude_scaffold
11.688396,8.267455,claude_scaffold
11.386608,8.17673,claude_scaffold
11.710414,8.139545,claude_scaffold
11.589676,7.816375,claude_scaffold
9.8029785,5.32237,claude_scaffold
11.204398,7.8468914,claude_scaffold
11.166583,7.5473375,claude_scaffold
11.4523,8.205988,claude_scaffold
11.776777,7.937251,claude_scaffold
9.758184,5.412841,claude_scaffold
11.276897,8.039314,claude_scaffold
11.490705,8.194812,claude_scaffold
11.158023,7.927316,claude_scaffold
11.064576,7.879443,claude_scaffold
11.711326,7.9956574,claude_scaffold
11.558169,8.187397,claude_scaffold
11.199647,8.085569,claude_scaffold
11.686538,8.134936,claude_scaffold
11.827978,7.9110227,claude_scaffold
11.4500265,8.19632,claude_scaffold
10.701374,8.935711,claude_scaffold
10.711375,8.852777,claude_scaffold
10.303434,8.834,claude_scaffold
10.299965,8.875399,claude_scaffold
10.339412,8.90873,claude_scaffold
10.0446615,8.733331,claude_scaffold
10.133411,8.9909525,claude_scaffold
10.577649,8.562517,claude_scaffold
10.862621,9.189923,claude_scaffold
10.414256,8.902531,claude_scaffold
10.8362055,9.893274,claude_scaffold
9.673029,7.010681,claude_scaffold
11.059993,9.709194,claude_scaffold
10.880301,9.795053,claude_scaffold
9.55602,6.9572086,claude_scaffold
10.928165,10.05147,claude_scaffold
11.029321,9.709043,claude_scaffold
11.791456,8.538268,claude_scaffold
11.279489,9.785228,claude_scaffold
11.719229,8.425736,claude_scaffold
11.932124,8.391156,claude_scaffold
11.679289,8.535582,claude_scaffold
9.070121,6.385377,claude_scaffold
9.188136,6.5187893,claude_scaffold
8.780216,6.6048074,claude_scaffold
9.006873,6.3411694,claude_scaffold
8.010009,5.107248,claude_scaffold
10.787003,9.44403,claude_scaffold
8.934579,6.4822683,claude_scaffold
8.094173,5.0903826,claude_scaffold
9.247069,6.209289,claude_scaffold
9.310925,6.7548227,claude_scaffold
11.643628,9.831217,claude_scaffold
11.662462,9.868817,claude_scaffold
11.746147,9.869391,claude_scaffold
11.785174,9.865599,claude_scaffold
11.696027,9.894166,claude_scaffold
11.811218,9.748502,claude_scaffold
11.81688,9.848437,claude_scaffold
11.804881,9.859363,claude_scaffold
11.843576,9.84219,claude_scaffold
11.858093,9.888212,claude_scaffold
11.551213,6.53418,claude_scaffold
11.500068,6.5685487,claude_scaffold
11.546417,6.5474873,claude_scaffold
11.184568,6.3666115,claude_scaffold
11.549868,6.608563,claude_scaffold
11.264184,6.513095,claude_scaffold
11.528721,6.567625,claude_scaffold
11.452566,6.5227637,claude_scaffold
11.530513,6.562248,claude_scaffold
11.231933,6.3809376,claude_scaffold
11.172837,7.968203,claude_scaffold
10.766961,7.9870625,claude_scaffold
10.883438,7.9337234,claude_scaffold
10.94569,7.8678427,claude_scaffold
10.416419,7.269332,claude_scaffold
10.536751,7.758131,claude_scaffold
10.845035,7.809697,claude_scaffold
9.568475,8.97916,claude_scaffold
10.752453,7.908726,claude_scaffold
11.270974,8.046052,claude_scaffold
10.955456,7.84364,claude_scaffold
10.79688,7.7328863,claude_scaffold
10.774578,7.953198,claude_scaffold
10.749773,7.7311826,claude_scaffold
10.618415,7.9724784,claude_scaffold
10.4280405,8.340684,claude_scaffold
10.672133,7.7029867,claude_scaffold
10.628047,8.200934,claude_scaffold
7.3081203,4.190793,claude_scaffold
7.293854,3.6709328,claude_scaffold
