UMAP1,UMAP2,Source
9.96892,-0.11699028,claude
9.452423,-1.2059765,claude
10.913305,-1.1887063,claude
9.533792,-1.1869512,claude
9.50443,-1.1037458,claude
9.507018,-1.072196,claude
9.436824,-0.97495174,claude
9.561823,-0.9462722,claude
9.503265,-1.118534,claude
9.829372,-0.25115818,claude
9.475025,-1.1648597,claude
9.921345,-0.46481353,claude
10.205556,-1.0945765,claude
9.986553,-0.14373778,claude
9.982862,-0.814787,claude
9.418389,-1.2569354,claude
10.066205,-0.37522775,claude
9.94378,-0.20917061,claude
9.940204,-0.2980472,claude
1.2115725,-0.3094194,claude
5.5415335,-0.94297725,claude
1.0519491,-0.21470718,claude
13.962777,2.5662222,claude
1.3855002,-0.24830858,claude
4.717429,3.7854333,claude
2.0556905,0.6207103,claude
13.988283,2.599232,claude
1.1780604,-0.2701022,claude
5.497076,-0.8561764,claude
13.960823,2.5653596,claude
1.0676745,-0.22618704,claude
2.0365622,0.6672643,claude
13.797579,2.5028188,claude
0.97119683,-0.14311337,claude
1.4473255,-0.34958407,claude
8.038127,0.1282988,claude
8.023245,0.16416691,claude
8.034977,0.12741993,claude
8.0441065,0.17036559,claude
8.037113,0.11643419,claude
8.030282,0.103680745,claude
8.181734,0.2731625,claude
8.036676,0.117611766,claude
8.194759,0.26450515,claude
8.007851,0.1564085,claude
8.017138,0.10513899,claude
8.015934,0.11537354,claude
8.004864,0.11944557,claude
8.03298,0.12291559,claude
8.03404,0.113230504,claude
8.037626,0.12726226,claude
2.072021,-0.98828006,claude
1.1063246,1.2924508,claude
3.3730643,-0.28759682,claude
-0.014279527,1.0324197,claude
1.9414146,-1.1382954,claude
14.341314,2.036669,claude
3.243276,-2.346214,claude
2.68978,0.7797391,claude
1.1575123,1.3418223,claude
0.9275727,-0.034872998,claude
-2.518851,3.4581788,claude
14.33884,-3.3681514,claude
7.3428926,-1.5032496,claude
15.190106,-1.4118754,claude
15.148384,-1.411547,claude
13.3947735,-0.76649463,claude
14.07576,-4.059592,claude
10.034553,-7.804616,claude
13.632783,3.9018307,claude
-2.556138,3.547363,claude
14.361763,-3.3717997,claude
14.302693,1.9808549,claude
10.006198,-7.8327556,claude
12.614641,4.5190496,claude
14.065583,-4.054214,claude
-0.61741877,3.1290793,claude
1.5126199,2.5033467,claude
1.1323228,0.8459505,claude
1.2640061,0.93185526,claude
5.864574,1.0661633,claude
5.981696,1.1048583,claude
6.0059485,1.1212445,claude
5.9360204,1.1915694,claude
6.019495,1.2152936,claude
6.13859,1.1398457,claude
6.3909526,1.2560035,claude
6.044438,1.065234,claude
6.000362,1.2373309,claude
5.348205,-0.37570938,claude
5.721309,1.9666104,claude
5.7417035,1.8817309,claude
5.370936,-0.18728341,claude
5.767202,2.0086484,claude
5.308191,-0.12013793,claude
5.0883965,0.03551949,claude
5.694118,1.9635183,claude
5.7126303,2.066024,claude
5.7792907,2.017459,claude
5.707693,1.9821588,claude
